Year,Month,DayOfWeek,Hour,Rocket_ID,Rocket,Payload,Operator,FlightNumberInfo,Orbit,Function,crewed,Success
2010.0,12.0,2.0,19.0,265,Soyuz-FG,"Soyuz TMA-20, Crewed flight with three cosmonauts.","Roscosmos, Crewed flight with three cosmonauts.",,"LEO (ISS), Crewed flight with three cosmonauts.","Expedition 26, Crewed flight with three cosmonauts.",1,1
2010.0,12.0,4.0,20.0,149,Long March 3A,Compass IGSO-2,CNSA,,IGSO,Navigation,0,1
2010.0,12.0,5.0,10.0,117,GSLV Mk.I,"GSAT-5P, Disintegrated during first stage flight.","ISRO, Disintegrated during first stage flight.",,"Intended: GEO, Disintegrated during first stage flight.","Communications, Disintegrated during first stage flight.",0,0
2010.0,12.0,6.0,22.0,222,Proton-M / Briz-M Enhanced,KA-SAT,Eutelsat,,GEO,Communications,0,1
2010.0,12.0,2.0,21.0,19,Ariane 5 ECA,"Hispasat-1E, Koreasat 6","Hispasat, Koreasat",,GEO,Communications,0,1
2011.0,1.0,3.0,12.0,319,Zenit-3F,Elektro-L No.1,Roscosmos,,GEO,Meteorology,0,1
2011.0,1.0,3.0,21.0,99,Delta IV-H,"USA-224 (KH-11), NRO Launch 49, first Delta IV Heavy launch from Vandenberg.","NRO, NRO Launch 49, first Delta IV Heavy launch from Vandenberg.",,"LEO, NRO Launch 49, first Delta IV Heavy launch from Vandenberg.","Earth observation, NRO Launch 49, first Delta IV Heavy launch from Vandenberg.",0,1
2011.0,1.0,5.0,5.0,127,H-IIB,Kounotori 2 (HTV-2),JAXA,,LEO (ISS),ISS logistics,0,1
2011.0,1.0,4.0,1.0,270,Soyuz-U,"Progress M-09M / 41P, Kedr","Roscosmos, RKK Energia",,"LEO (ISS), LEO","ISS logistics, Amateur radio",0,1
2011.0,2.0,1.0,14.0,236,Rokot / Briz-KM,"Kosmos 2470 (Geo-IK-2 No.11), Upper stage malfunctioned due to problems with the flight software, reached lower orbit than planned.","VKS, Upper stage malfunctioned due to problems with the flight software, reached lower orbit than planned.",,"LEO, Upper stage malfunctioned due to problems with the flight software, reached lower orbit than planned.","Geodesy, Upper stage malfunctioned due to problems with the flight software, reached lower orbit than planned.",0,0
2011.0,2.0,6.0,12.0,171,Minotaur I,"USA-225 (RPP), NRO Launch 66","NRO, NRO Launch 66",,"LEO, NRO Launch 66","Technology demonstration, NRO Launch 66",0,1
2011.0,2.0,2.0,21.0,21,Ariane 5 ES,Johannes Kepler ATV,ESA,,LEO (ISS),ISS logistics,0,1
2011.0,2.0,3.0,21.0,277,Space Shuttle Discovery,"STS-133, Leonardo (PMM), ExPRESS-4, Crewed flight, final flight of Discovery.","NASA, ASI / NASA, Crewed flight, final flight of Discovery.",,"LEO (ISS), Crewed flight, final flight of Discovery.","ISS logistics, ISS assembly, Crewed flight, final flight of Discovery.",1,1
2011.0,2.0,5.0,3.0,263,Soyuz-2.1b / Fregat,Kosmos 2471 (Glonass-K 701),VKS,,MEO,Navigation,0,1
2011.0,3.0,4.0,10.0,290,Taurus-XL 3110,"Glory, ⚀ KySat-1, ⚀ Hermes, ⚀ Explorer-1 , All payloads CubeSats except Glory, which would have been part of the A-train constellation. Fairing failed to separate.","NASA, Kentucky Space, Colorado, Montana State, All payloads CubeSats except Glory, which would have been part of the A-train constellation. Fairing failed to separate.",,"Intended: LEO (SSO), Intended: LEO, All payloads CubeSats except Glory, which would have been part of the A-train constellation. Fairing failed to separate.","Climatology, Technology demonstration, Radiation, All payloads CubeSats except Glory, which would have been part of the A-train constellation. Fairing failed to separate.",0,0
2011.0,3.0,5.0,22.0,46,Atlas V 501,USA-226 (X-37B FLT-2),U.S. Air Force,,LEO,Technology demonstration,0,1
2011.0,3.0,4.0,23.0,101,"Delta IV-M+ (4,2)","USA-227 (SDS-3), NRO Launch 27","NRO, NRO Launch 27",,"GEO, NRO Launch 27","Communications, NRO Launch 27",0,1
2011.0,4.0,0.0,22.0,265,Soyuz-FG,Soyuz TMA-21,Roscosmos,,LEO (ISS),Expedition 27/28,0,1
2011.0,4.0,5.0,20.0,149,Long March 3A,Compass-IGSO3,CNSA,,IGSO,Navigation,0,1
2011.0,4.0,3.0,4.0,43,Atlas V 411,"USA-229 (NOSS), NRO Launch 34","NRO, NRO Launch 34",,"LEO, NRO Launch 34","ELINT, NRO Launch 34",0,1
2011.0,4.0,2.0,4.0,186,PSLV,"Resourcesat-2, YouthSat, X-Sat","ISRO, ISRO / MGU, CREST",,LEO (SSO),"Earth observation, Education, Technology demonstration",0,1
2011.0,4.0,4.0,21.0,19,Ariane 5 ECA,"Yahsat 1A, New Dawn, New Dawn's C-Band antenna failed to deploy.","Yahsat, Intelsat, New Dawn's C-Band antenna failed to deploy.",,"GEO, New Dawn's C-Band antenna failed to deploy.","Communications, New Dawn's C-Band antenna failed to deploy.",0,1
2011.0,4.0,2.0,13.0,270,Soyuz-U,Progress M-10M / 42P,Roscosmos,,LEO (ISS),ISS logistics,0,1
2011.0,5.0,2.0,17.0,258,Soyuz-2.1a / Fregat,Meridian 4,VKS,,MEO,Communications,0,1
2011.0,5.0,5.0,18.0,42,Atlas V 401,USA-230 (SBIRS-GEO 1),U.S. Air Force,,GEO,Missile defense,0,1
2011.0,5.0,0.0,12.0,278,Space Shuttle Endeavour,"STS-134, AMS-02, ExPRESS-3, Crewed flight, final flight of Endeavour.","NASA, Crewed flight, final flight of Endeavour.",,"LEO (ISS), Crewed flight, final flight of Endeavour.","ISS logistics, Cosmic-ray observatory, Crewed flight, final flight of Endeavour.",1,1
2011.0,5.0,4.0,19.0,228,Proton-M/Briz-M Enhanced,"Telstar 14R, Second solar panel failed to deploy due to tangled cable","Telesat, Second solar panel failed to deploy due to tangled cable",,"GEO, Second solar panel failed to deploy due to tangled cable","Communications, Second solar panel failed to deploy due to tangled cable",0,0
2011.0,5.0,4.0,20.0,19,Ariane 5 ECA,"ST-2, INSAT-4G/GSAT-8","SingTel / Chunghwa, ISRO",,GEO,Communications,0,1
2011.0,6.0,1.0,20.0,265,Soyuz-FG,Soyuz TMA-02M,Roscosmos,,LEO (ISS),Expedition 28/29,0,1
2011.0,6.0,4.0,14.0,66,Delta II 7320,"SAC-D, Final scheduled flight of Delta II 7300 series; spacecraft carrying NASA's Aquarius instrument.","CONAE / NASA, Final scheduled flight of Delta II 7300 series; spacecraft carrying NASA's Aquarius instrument.",,"LEO (SSO), Final scheduled flight of Delta II 7300 series; spacecraft carrying NASA's Aquarius instrument.","Oceanography, Final scheduled flight of Delta II 7300 series; spacecraft carrying NASA's Aquarius instrument.",0,1
2011.0,6.0,2.0,9.0,242,Safir-1A,Rasad 1,ISA,,LEO,Earth observation,0,1
2011.0,6.0,0.0,16.0,150,Long March 3B,ChinaSat 10,China Satellite Communications,,GEO,Communications,0,1
2011.0,6.0,1.0,14.0,270,Soyuz-U,Progress M-11M / 43P,Roscosmos,,LEO (ISS),ISS logistics,0,1
2011.0,6.0,0.0,16.0,270,Soyuz-U,Kosmos 2472 (Kobalt-M No.7),VKS,,LEO,Reconnaissance,0,1
2011.0,6.0,3.0,3.0,171,Minotaur I,USA-231 (ORS-1),ORSO,,LEO,Reconnaissance,0,1
2011.0,7.0,2.0,4.0,140,Long March 2C,Shijian 11-03,CNSA,,LEO (SSO),Technology demonstration,0,1
2011.0,7.0,4.0,15.0,275,Space Shuttle Atlantis,"STS-135, Raffaelo MPLM, PSSC-2, Crewed flight, final flight of Atlantis and of Space Shuttle programme.","NASA, U.S. Air Force, Crewed flight, final flight of Atlantis and of Space Shuttle programme.",,"LEO (ISS), LEO, Crewed flight, final flight of Atlantis and of Space Shuttle programme.","ISS logistics, Technology demonstration, Crewed flight, final flight of Atlantis and of Space Shuttle programme.",1,1
2011.0,7.0,0.0,15.0,154,Long March 3C,Tianlian I-02 (1B),CNSA,,GEO,Communications,0,1
2011.0,7.0,2.0,2.0,258,Soyuz-2.1a / Fregat,"Globalstar M081, Globalstar M083, Globalstar M085, Globalstar M088, Globalstar M089, Globalstar M091",Globalstar,,LEO,Communications,0,1
2011.0,7.0,4.0,11.0,191,PSLV-XL,GSAT-12,ISRO,,GEO,Communications,0,1
2011.0,7.0,4.0,23.0,222,Proton-M / Briz-M Enhanced,"SES-3, KazSat-2","SES World Skies (July–September) SES S.A. (September—), JSC KazSat",,GEO,Communications,0,1
2011.0,7.0,5.0,6.0,101,"Delta IV-M+ (4,2)","USA-232 (GPS-IIF-2), Named after Star Sirius.","U.S. Air Force, Named after Star Sirius.",,"MEO, Named after Star Sirius.","Navigation, Named after Star Sirius.",0,1
2011.0,7.0,0.0,2.0,319,Zenit-3F,"Spektr-R (RadioAstron), Russian scientific satellite with a 10 m (33 ft) radio telescope on board. Together with some of the largest ground-based radio telescopes, the Spektr-R formed interferometric baselines extending up to 350,000 km (220,000 mi).","Roscosmos, Russian scientific satellite with a 10 m (33 ft) radio telescope on board. Together with some of the largest ground-based radio telescopes, the Spektr-R formed interferometric baselines extending up to 350,000 km (220,000 mi).",,"High Earth, Russian scientific satellite with a 10 m (33 ft) radio telescope on board. Together with some of the largest ground-based radio telescopes, the Spektr-R formed interferometric baselines extending up to 350,000 km (220,000 mi).","Radio astronomy, Russian scientific satellite with a 10 m (33 ft) radio telescope on board. Together with some of the largest ground-based radio telescopes, the Spektr-R formed interferometric baselines extending up to 350,000 km (220,000 mi).",0,1
2011.0,7.0,1.0,21.0,149,Long March 3A,Compass-IGSO4,CNSA,,IGSO,Navigation,0,1
2011.0,7.0,4.0,7.0,140,Long March 2C,Shijian 11-02,CNSA,,LEO (SSO),Technology demonstration,0,1
2011.0,8.0,4.0,16.0,50,Atlas V 551,Juno,NASA,,Jovicentric,Jupiter orbiter,0,1
2011.0,8.0,5.0,22.0,19,Ariane 5 ECA,"Astra 1N, BSAT-3c / JCSAT-110R","SES Astra (August–September) SES S.A. (September—), BSAT / JSAT",,GEO,Communications,0,1
2011.0,8.0,3.0,16.0,152,Long March 3B/E,Paksat-1R,SUPARCO,,GEO,Communications,0,1
2011.0,8.0,0.0,22.0,159,Long March 4B,Hai Yang 2A,CAST,,LEO (SSO),Oceanography,0,1
2011.0,8.0,2.0,7.0,105,Dnepr,"Sich-2, NigeriaSat-2, NigeriaSat-X, RASAT, EduSAT, AprizeSat-5, AprizeSat-6, BPA-2","NKAU, NASRDA, TÜBİTAK, GAUSS Srl, exactEarth, Hartron-Arkos",,LEO (SSO),"Earth observation, Technology demonstration, Communications",0,1
2011.0,8.0,2.0,21.0,222,Proton-M / Briz-M Enhanced,"Ekspress AM-4, Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.","RSCC, Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.",,"Intended: GEO Achieved: GTO, Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.","Communications, Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.",0,0
2011.0,8.0,3.0,9.0,140,Long March 2C,"Shijian 11-04, Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.","CNSA, Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.",,"Intended: LEO (SSO), Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.","Technology demonstration, Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.",0,0
2011.0,8.0,2.0,13.0,270,Soyuz-U,"Progress M-12M / 44P, Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.","Roscosmos, Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.",,"Intended: LEO (ISS), Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.","ISS logistics, Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.",0,0
2011.0,9.0,5.0,13.0,81,Delta II 7920H,"GRAIL-A (Ebb), GRAIL-B (Flow), Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","NASA, Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.",,Selenocentric,"Lunar orbiter, Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.",0,1
2011.0,9.0,6.0,16.0,152,Long March 3B/E,Chinasat-1A,China Satcom,,GEO,Communications,0,1
2011.0,9.0,1.0,22.0,221,Proton-M / Briz-M,Kosmos 2473 (Garpun #1),VKS,,GEO,Communications,0,1
2011.0,9.0,2.0,21.0,19,Ariane 5 ECA,"Arabsat 5C, SES-2","Arabsat, SES S.A.",,GEO,Communications,0,1
2011.0,9.0,4.0,4.0,122,H-IIA,IGS Optical 4,CSICE,,LEO (SSO),Reconnaissance,0,1
2011.0,9.0,5.0,20.0,321,Zenit-3SL,Atlantic Bird 7,Eutelsat,,GEO,Communications,0,1
2011.0,9.0,1.0,15.0,175,Minotaur IV+,TacSat-4,U.S. Air Force,,Highly elliptical,Technology demonstration,0,1
2011.0,9.0,3.0,13.0,146,Long March 2F/G,Tiangong-1,CMSA,,LEO,Space station,0,1
2011.0,9.0,3.0,18.0,222,Proton-M / Briz-M Enhanced,"QuetzSat 1, Intended for lease to QuetzSat.","SES Satellite Leasing, Intended for lease to QuetzSat.",,"GEO, Intended for lease to QuetzSat.","Communications, Intended for lease to QuetzSat.",0,1
2011.0,10.0,6.0,20.0,263,Soyuz-2.1b / Fregat,Kosmos 2474 (Glonass-M 742),VKS,,MEO,Navigation,0,1
2011.0,10.0,2.0,21.0,322,Zenit-3SLB,Intelsat 18,Intelsat,,GEO,Communications,0,1
2011.0,10.0,4.0,8.0,152,Long March 3B/E,Eutelsat W3C,Eutelsat,,GEO,Communications,0,1
2011.0,10.0,2.0,5.0,188,PSLV-CA,"Megha-Tropiques, SRMSAT, VesselSat-1, ⚀ Jugnu","ISRO / CNES, SRM, Luxspace, IITK",,LEO,"Climatology, Communications, Earth observation",0,1
2011.0,10.0,2.0,18.0,222,Proton-M / Briz-M Enhanced,ViaSat-1,ViaSat-IOM / ManSat,,GEO,Communications,0,1
2011.0,10.0,4.0,10.0,255,Soyuz ST-B / Fregat-MT,"Galileo IOV 1, Galileo IOV 2, First Soyuz launch from Kourou.","ESA, First Soyuz launch from Kourou.",,MEO,"Navigation / Technology demonstration, First Soyuz launch from Kourou.",0,1
2011.0,10.0,4.0,9.0,77,Delta II 7920-10,"NPP, ⚀ AubieSat 1, ⚀ DICE-1, ⚀ DICE-2, ⚀ E1P-U2, ⚀ M-Cubed, ⚀ RAX-2","NASA / NOAA, Auburn University, Space Dynamics Laboratory, Montana State, University of Michigan",,LEO,"Meteorology, Technology demonstration, Magnetospheric research, Radiation, Auroral",0,1
2011.0,10.0,6.0,10.0,270,Soyuz-U,"Progress M-13M / 45P, Chibis-M (RS-39)","Roscosmos, IKI",,"LEO (ISS), LEO","ISS logistics, Ionospheric research",0,1
2011.0,10.0,0.0,21.0,145,Long March 2F,"Shenzhou 8, Shenzhou-8-GC, Uncrewed flight, first Chinese orbital docking.","CMSA, Uncrewed flight, first Chinese orbital docking.",,"LEO (Tiangong-1), Uncrewed flight, first Chinese orbital docking.","Technology demonstration, Uncrewed flight, first Chinese orbital docking.",1,1
2011.0,11.0,4.0,12.0,221,Proton-M / Briz-M,"Kosmos 2475 (Glonass-M 743), Kosmos 2476 (Glonass-M 744), Kosmos 2477 (Glonass-M 745)",VKS,,MEO,Navigation,0,1
2011.0,11.0,1.0,20.0,318,Zenit-2M,"Fobos-Grunt, Yinghuo-1, First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place","Roscosmos, CNSA, First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place",,"Intended: Areocentric Achieved: LEO, First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place","Phobos sample return, Mars orbiter, First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place",0,0
2011.0,11.0,2.0,3.0,159,Long March 4B,"Yaogan 12, Tian Xun 1","CNSA, Nanjing University of Aeronautics and Astronautics",,LEO (SSO),"Reconnaissance, Technology demonstration",1,1
2011.0,11.0,0.0,4.0,265,Soyuz-FG,Soyuz TMA-22,Roscosmos,,LEO (ISS),Expedition 29/30,0,1
2011.0,11.0,6.0,0.0,143,Long March 2D,"Shiyan 4, Chuang Xin 1C",CNSA,,LEO (SSO),Technology demonstration,0,1
2011.0,11.0,4.0,19.0,222,Proton-M / Briz-M Enhanced,AsiaSat 7,AsiaSat,,GEO,Communications,0,1
2011.0,11.0,5.0,15.0,49,Atlas V 541,Mars Science Laboratory (Curiosity),NASA,,TMI to Martian Surface,Mars rover,0,1
2011.0,11.0,0.0,8.0,263,Soyuz-2.1b / Fregat,Kosmos 2478 (Glonass-M 746),VKS,,MEO,Navigation,0,1
2011.0,11.0,1.0,18.0,140,Long March 2C,Yaogan 13,CNSA,,LEO (SSO),Reconnaissance,0,1
2011.0,12.0,3.0,21.0,149,Long March 3A,Compass-IGSO5,CNSA,,IGSO,Navigation,0,1
2011.0,12.0,6.0,11.0,222,Proton-M / Briz-M Enhanced,"Luch 5A, Amos-5","Gonets Satellite System, SCL",,GEO,Communications,0,1
2011.0,12.0,0.0,1.0,122,H-IIA,IGS Radar 3,CSICE,,LEO (SSO),Reconnaissance (radar),0,1
2011.0,12.0,5.0,2.0,251,Soyuz ST-A / Fregat,"Pléiades-HR 1A, FASat-Charlie (SSOT), ELISA 1, ELISA 2, ELISA 3, ELISA 4","CNES, MDN, CNES / DGA",,LEO (SSO),"Earth observation/Reconnaissance, Earth observation/Reconnaisance, ELINT",0,1
2011.0,12.0,0.0,16.0,152,Long March 3B/E,NigComSat-1R,NIGCOMSAT / NASRDA,,GEO,Communications,0,1
2011.0,12.0,2.0,13.0,265,Soyuz-FG,Soyuz TMA-03M,Roscosmos,,LEO (ISS),Expedition 30/31,0,1
2011.0,12.0,3.0,3.0,159,Long March 4B,Ziyuan 1-02C,CNSA,,LEO (SSO),Earth observation,0,1
2011.0,12.0,4.0,12.0,263,Soyuz-2.1b / Fregat,"Meridian 5, Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","VKO, Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces",,"Intended: Molniya, Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Communications, Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces",0,0
2011.0,12.0,2.0,17.0,258,Soyuz-2.1a / Fregat,"Globalstar M080, Globalstar M082, Globalstar M084, Globalstar M086, Globalstar M090, Globalstar M092",Globalstar,,LEO,Communications,0,1
2012.0,1.0,0.0,3.0,159,Long March 4B,"Ziyuan 3, VesselSat-2","MLR, Luxspace",,LEO (SSO),"Earth observation, Communications",0,1
2012.0,1.0,4.0,0.0,149,Long March 3A,Fengyun 2-07,CMA,,GEO,Meteorology,0,1
2012.0,1.0,4.0,0.0,103,"Delta IV-M+ (5,4)",USA-233 (WGS-4),U.S. Air Force,,GEO,Communications,0,1
2012.0,1.0,2.0,23.0,270,Soyuz-U,Progress M-14M / 46P,Roscosmos,,LEO (ISS),ISS logistics,0,1
2012.0,2.0,4.0,0.0,243,Safir-1B,Navid,ISA,,LEO,Earth observation,0,1
2012.0,2.0,0.0,10.0,315,Vega,"LARES, ALMASat-1, ⚀ Xatcobeo, ⚀ UniCubeSat-GG, ⚀ Robusta, ⚀ e-st@r, ⚀ Goliat, ⚀ PW-Sat, ⚀ MaSat-1","ASI, Università di Bologna, Vigo/INTA, Rome, Montpellier, Torino, Bucharest, Warsaw, BME",,LEO,"Geodesy, Technology demonstration, Atmospheric science",0,1
2012.0,2.0,1.0,19.0,222,Proton-M / Briz-M Enhanced,SES-4,SES World Skies,,GEO,Communications,0,1
2012.0,2.0,4.0,16.0,154,Long March 3C,Compass-G5,CNSA,,GEO,Navigation,0,1
2012.0,2.0,4.0,22.0,50,Atlas V 551,MUOS-1,U.S. Navy,,GEO,Communications,0,1
2012.0,3.0,4.0,4.0,21,Ariane 5 ES,Edoardo Amaldi ATV,ESA,,LEO (ISS),ISS logistics,0,1
2012.0,3.0,6.0,12.0,222,Proton-M / Briz-M Enhanced,Intelsat 22,Intelsat,,GEO,Communications,0,1
2012.0,3.0,4.0,5.0,205,Proton-K / DM-2,"Kosmos 2479 (US-KMO), ","VKO, Final flight of Proton-K, final US-KMO satellite.",Final flight,"GEO, Final flight of Proton-K, final US-KMO satellite.","Missile defense, Final flight of Proton-K, final US-KMO satellite.",0,1
2012.0,3.0,5.0,10.0,152,Long March 3B/E,Apstar-7,APT Satellite Holdings,,GEO,Communication,0,1
2012.0,4.0,1.0,23.0,104,"Delta IV-M+(5,2)","USA-234 (FIA-R), NRO Launch 25","NRO, NRO Launch 25",,"LEO, NRO Launch 25","Reconnaissance, NRO Launch 25",0,1
2012.0,4.0,3.0,22.0,312,Unha-3,"Kwangmyŏngsŏng-3, Probable first stage failure, disintegrated over the Yellow Sea.","KCST, Probable first stage failure, disintegrated over the Yellow Sea.",,"Intended: LEO, Probable first stage failure, disintegrated over the Yellow Sea.","Technology demonstration, Probable first stage failure, disintegrated over the Yellow Sea.",0,0
2012.0,4.0,4.0,12.0,270,Soyuz-U,Progress M-15M / 47P,Roscosmos,,LEO (ISS),ISS logistics,0,1
2012.0,4.0,0.0,22.0,222,Proton-M / Briz-M Enhanced,Yahsat 1B,Yahsat,,GEO,Communications,0,1
2012.0,4.0,3.0,0.0,191,PSLV-XL,RISAT-1,ISRO,,LEO (SSO),Earth observation,0,1
2012.0,4.0,6.0,20.0,150,Long March 3B,"Compass-M3, Compass-M4",CNSA,,MEO,Navigation,0,1
2012.0,5.0,4.0,18.0,48,Atlas V 531,USA-235 (AEHF-2),U.S. Air Force,,GEO,Communications,0,1
2012.0,5.0,6.0,7.0,143,Long March 2D,Tianhui 1B,CNSA,,LEO (SSO),Earth observation,0,1
2012.0,5.0,3.0,7.0,159,Long March 4B,"Yaogan 14, Tiantuo 1","CNSA, NUDT",,LEO (SSO),"Reconnaissance, Technology demonstration",0,1
2012.0,5.0,1.0,3.0,265,Soyuz-FG,"Soyuz TMA-04M, Crewed flight","Roscosmos, Crewed flight",,"LEO (ISS), Crewed flight","Expedition 31/32, Crewed flight",1,1
2012.0,5.0,1.0,22.0,19,Ariane 5 ECA,"JCSAT-13, Vinasat-2","SKY Perfect JSAT Group, VNPT",,GEO,Communications,0,1
2012.0,5.0,3.0,14.0,270,Soyuz-U,"Kosmos 2480 (Kobalt-M No.8), Final Soyuz-U launch from Plesetsk.","VKO, Final Soyuz-U launch from Plesetsk.",,LEO,"Reconnaissance, Final Soyuz-U launch from Plesetsk.",0,1
2012.0,5.0,3.0,16.0,122,H-IIA,"GCOM-W1, Arirang-3, SDS-4, Horyu-2","JAXA / NASA, KARI, JAXA, KIT",,LEO (SSO),"Earth observation, Technology demonstration, Technology demonstration Amateur radio",0,1
2012.0,5.0,3.0,19.0,221,Proton-M / Briz-M,Nimiq 6,Telesat,,GEO,Communications,0,1
2012.0,5.0,1.0,7.0,112,Falcon 9 v1.0,"Dragon C2+, New Frontier, COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.","SpaceX / NASA, Celestis, COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.",,"LEO (ISS), LEO, COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.","Flight test ISS logistics, Space burial, COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.",0,1
,,,,243,Safir-1B,"Fajr, Probable launch failure; identity of launch attempt, rocket, satellite and launch time not confirmed.","ISA, Probable launch failure; identity of launch attempt, rocket, satellite and launch time not confirmed.",,"Planned: LEO, Probable launch failure; identity of launch attempt, rocket, satellite and launch time not confirmed.","Earth observation, Probable launch failure; identity of launch attempt, rocket, satellite and launch time not confirmed.",0,0
2012.0,5.0,5.0,15.0,152,Long March 3B/E,Chinasat-2A,China Satcom,,GEO,Communications,0,1
2012.0,5.0,1.0,7.0,161,Long March 4C,Yaogan 15,CNSA,,LEO (SSO),Reconnaissance,0,1
2012.0,6.0,4.0,5.0,321,Zenit-3SL,"Intelsat 19, Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.","Intelsat, Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.",,"GEO, Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.","Communications, Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.",0,0
2012.0,6.0,2.0,16.0,195,Pegasus-XL,NuSTAR,NASA,,LEO,X-ray astronomy,0,1
2012.0,6.0,5.0,10.0,145,Long March 2F,"Shenzhou 9, Shenzhou-9-GC (Orbital Module), Crewed flight; first Chinese woman in space, and first crewed mission to Tiangong-1.","CMSA, Crewed flight; first Chinese woman in space, and first crewed mission to Tiangong-1.",,"LEO (Tiangong-1), Crewed flight; first Chinese woman in space, and first crewed mission to Tiangong-1.","Technology demonstration, Space rendezvous, Crewed flight; first Chinese woman in space, and first crewed mission to Tiangong-1.",1,1
2012.0,6.0,2.0,12.0,42,Atlas V 401,"USA-236 / SDS-3, NROL-38 mission.","NRO, NROL-38 mission.",,"GEO, NROL-38 mission.","Communications, NROL-38 mission.",0,1
2012.0,6.0,4.0,13.0,91,Delta IV Heavy,"USA-237 / Orion 8, NROL-15 mission.","NRO, NROL-15 mission. First flight of Delta IV with RS-68A engines.",First flight,"GEO, NROL-15 mission. First flight of Delta IV with RS-68A engines.","ELINT, NROL-15 mission. First flight of Delta IV with RS-68A engines.",0,1
2012.0,7.0,3.0,21.0,19,Ariane 5 ECA,"Echostar XVII, MSG 3","Hughes Network Systems, EUMETSAT",,GEO,"Communications, Meteorology",0,1
2012.0,7.0,0.0,18.0,222,Proton-M / Briz-M Enhanced,SES-5,SES,,GEO,Communications,0,1
2012.0,7.0,6.0,2.0,265,Soyuz-FG,"Soyuz TMA-05M, Crewed flight","Roscosmos, Crewed flight",,"LEO (ISS), Crewed flight","Expedition 32/33, Crewed flight",1,1
