DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
18 August 22:43[103][104][105]-2008,4319,Proton-M / Briz-M Enhanced,Inmarsat-4 F3[106],Inmarsat,GEO,Communications,In orbit,Operational,,
29 August 07:15:58[107]-2008,"4321, 4322, 4323, 4324, 4325",Dnepr,"Tachys (RapidEye-1)[108], Mati (RapidEye-2)[108], Choma (RapidEye-3)[108], Choros (RapidEye-4)[108], Trochia (RapidEye-5)[108]",RapidEye / Planet Labs,LEO (SSO),Earth observation,In orbit,Successful[109],,
6 September 03:25[110]-2008,"4328, 4329",Long March 2C,"Huan Jing 1A, Huan Jing 1B",CNSA,LEO (SSO),Earth observation,In orbit,Operational,,
6 September 18:50:57[111]-2008,4331,Delta II 7420,GeoEye 1 (Orbview 5),GeoEye,LEO (SSO),Earth observation,In orbit,Operational,,
10 September 19:50:02[59]-2008,"4333, 4334",Soyuz-U,"Progress M-65, ISS flight 30P","Roscosmos, ISS flight 30P","LEO (ISS), ISS flight 30P","ISS logistics, ISS flight 30P","7 December 08:48:47[112], ISS flight 30P","Successful, ISS flight 30P",,
19 September 21:48[108][113]-2008,4336,Proton-M / Briz-M,Nimiq-4[114],Telesat Canada,GEO,Communications,In orbit,Operational,,
24 September 09:27:59[115]-2008,4338,Zenit-3SL,Galaxy 19,Intelsat,GEO,Communications,In orbit,Operational,,
25 September 08:49:37 [108][116]-2008,"4340, 4341, 4342",Proton-M / DM-2[117],"Kosmos 2442 (GLONASS)[108][118], Kosmos 2443 (GLONASS)[108][118], Kosmos 2444 (GLONASS)[108][118]",VKS,MEO,Navigation[119],In orbit,Operational,,
25 September 13:10[108][121]-2008,"4344, 4345, 4346, 4347",Long March 2F,"Shenzhou 7, Ban Xing[120], Shenzhou 7-GC[120], Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]","CMSA, Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]","LEO, Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]","Crewed flight, Technology demonstration, Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]","28 September 09:37:40[120], 30 October 2009[122], 4 January 2010[123], Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]","Successful, Crewed flight with three yǔhángyuán, crew conducted first Chinese EVA Ban Xing deployed from Shenzhou on 27 September at 11:27 GMT, GC separated on 28 September at 08:48 to begin independent mission[120]",,
28 September 23:15[125]-2008,"4349, 4350",Falcon 1,"RatSat[120], Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]","SpaceX, Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]","LEO, Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]","Boilerplate, Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]","In orbit, Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]","Successful[125][124], Launched boilerplate payload. First privately funded and developed liquid fuelled rocket to reach orbit.[124]",,
1 October 06:37:16-2008,4353,Dnepr,THEOS,GISTDA,LEO,Earth observation,In orbit,Operational,,
12 October 07:01[126]-2008,"4355, 4356",Soyuz-FG,"Soyuz TMA-13[127], Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]","Roscosmos, Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]","LEO (ISS), Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]","ISS Expedition 18, Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]","8 April 2009 07:16, Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]","Successful, Crewed flight with three cosmonauts, including a space tourist. 100th flight of the Soyuz programme to be crewed at some point in its mission[9]",,
19 October 17:47:23[128]-2008,4358,Pegasus-XL/Star-27,IBEX,NASA,High Earth,Solar,In orbit,Operational,,
22 October 00:52:11[130]-2008,"4360, 4361",PSLV-XL,"Chandrayaan-1[131], MIP",ISRO,Selenocentric,"Lunar orbiter, Lunar impactor","In orbit, 14 November","Partial spacecraft failure, Successful",,
25 October 01:15[133]-2008,"4364, 4365, 4366",Long March 4B,"Shijian 6-03A, Shijian 6-03B, First launch from Taiyuan LC-2[132]","CNSA, First launch from Taiyuan LC-2[132]","LEO, First launch from Taiyuan LC-2[132]","Technology demonstration, First launch from Taiyuan LC-2[132]","In orbit, First launch from Taiyuan LC-2[132]","Operational, First launch from Taiyuan LC-2[132]",,
25 October 02:28[134]-2008,4368,Delta II 7420-10,COSMO-3,ASI[135],LEO (SSO),Earth observation,In orbit,Operational,,
29 October 16:53:53[136]-2008,"4370, 4371",Long March 3B/E,"VeneSat-1 (Simón Bolívar), First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]","VMoST, First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]","GEO, First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]","Communications, First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]","In orbit, First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]","Successful; Partial spacecraft failure, First Venezuelan satellite.[136] Lost in March 2020 due to the failure of both solar array drives.[137]",,
5 November 00:15[138]-2008,"4374, 4375",Long March 2D[139],"Chuang Xin 1B, Shiyan 3[140]",CNSA,LEO,"Weather, Technology demonstration",In orbit,Operational,,
5 November 20:44-2008,"4377, 4378",Proton-M / Briz-M,"Astra 1M, ","SES Astra, Final flight of standard Proton-M","GEO, Final flight of standard Proton-M","Communications, Final flight of standard Proton-M","In orbit, Final flight of standard Proton-M","Operational, Final flight of standard Proton-M",Final flight,
14 November 15:50[141]-2008,4380,Soyuz-U,Kosmos 2445 (Kobalt-M),VKS,LEO,Optical imaging,23 February 2009[142] 16:15[143],Successful,,
15 November 00:55:39[145]-2008,"4382, 4383, 4384, 4385",Space Shuttle Endeavour[146],"STS-126[147], Leonardo MPLM, PSSC, Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]","NASA, ASI / NASA, U.S. Air Force, Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]","LEO (ISS), LEO, Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]","ISS assembly, ISS logistics, Technology demonstration, Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]","30 November 21:25:06[148], 17 February 2010 17:31[149], Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]","Successful, Crewed flight with seven astronauts, PSSC deployed from Shuttle at 20:33 GMT on 29 November and operated for 110 days.[144]",,
26 November 12:38:27[150]-2008,"4387, 4388",Soyuz-U,"Progress M-01M, ","Roscosmos, First flight of modernised Progress spacecraft, Kurs anomaly necessitated manual docking. ISS flight 31P","LEO (ISS), First flight of modernised Progress spacecraft, Kurs anomaly necessitated manual docking. ISS flight 31P","ISS logistics, First flight of modernised Progress spacecraft, Kurs anomaly necessitated manual docking. ISS flight 31P","8 February 2009 08:20[151], First flight of modernised Progress spacecraft, Kurs anomaly necessitated manual docking. ISS flight 31P","Successful, First flight of modernised Progress spacecraft, Kurs anomaly necessitated manual docking. ISS flight 31P",First flight,
1 December 04:42[152]-2008,4391,Long March 2D,Yaogan-4,CNSA,LEO (SSO),Earth observation,In orbit,Operational,,
2 December 05:00[153]-2008,4393,Molniya-M/2BL[154],Kosmos 2446 (Oko),VKS,Molniya,Missile defence,In orbit,Operational,,
10 December 13:43:00[155]-2008,4395,Proton-M / Briz-M Enhanced,Ciel-2[77],Ciel[156],GEO,Communications,In orbit,Operational,,
15 December 03:22[157]-2008,4397,Long March 4B,Yaogan-5,CNSA,LEO (SSO),Earth observation,2 September 2014,Successful,,
20 December 22:35[158]-2008,"4399, 4400",Unknown,"Hot Bird 9[77], Eutelsat W2M[77]",Eutelsat,GEO,Communications,In orbit,"Operational, Spacecraft failure[159]",,
23 December 00:54[160]-2008,4402,Long March 3A,Fengyun 2E,CMA,GEO,Meteorology,In orbit,Operational,,
25 December 10:43[161]-2008,"4404, 4405, 4406, 4407",Proton-M / DM-2 Enhanced,"Kosmos 2447 (GLONASS), Kosmos 2448 (GLONASS), Kosmos 2449 (GLONASS), ","VKS, First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military",MEO,"Navigation, First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military","In orbit, First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military","Operational, First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military",First flight,"First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military"
18 January 02:47[13]-2009,"4410, 4411",Delta IV Heavy[14],"USA-202 / Orion 6[15], NROL-26 mission.","NRO, NROL-26 mission.","GEO, NROL-26 mission.","ELINT, NROL-26 mission.","In orbit, NROL-26 mission.","Operational, NROL-26 mission.",,
23 January 03:54[17]-2009,"4413, 4414, 4415, 4416, 4417, 4418, 4419, 4420, 4421",H-IIA 202,"Ibuki (GOSAT), SDS-1, Sohla-1 (Maido-1), Raijin (Sprite-Sat)[21], Kagayaki[22], Hitomi (PRISM)[24], Kukai (STARS)[25][26], Kiseki (KKS-1)[27], Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","JAXA, SOHLA[19], Tohoku University, Sorun[23], University of Tokyo, Kagawa University, TMCIT, Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","LEO (SSO), Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Climatology, Technology demonstration, Sprite research, Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","In orbit, Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Operational, Successful[18], Successful[20], Spacecraft failure[16], Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]",,
30 January 13:30[3]-2009,"4423, 4424",Tsyklon-3,"Koronas-Foton, ","Roscosmos / MEPhI / NIIEM[29], Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","LEO[29], Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Heliophysics, Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","In orbit, Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Spacecraft failure, Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]",Final flight,
2 February 18:36[30]-2009,"4427, 4428",Safir,"Omid[31], First successful Iranian orbital launch[2]","ISA, First successful Iranian orbital launch[2]","LEO, First successful Iranian orbital launch[2]","Technology demonstration, First successful Iranian orbital launch[2]","25 April, First successful Iranian orbital launch[2]","Successful, First successful Iranian orbital launch[2]",,
6 February 10:22:01[32]-2009,4430,Delta II 7320-10C,NOAA-19 (NOAA-N'),NOAA / NASA,LEO (SSO),Meteorology,In orbit,Operational,,
10 February 05:49:46[33]-2009,"4432, 4433",Soyuz-U,"Progress M-66, ISS flight 32P","Roscosmos, ISS flight 32P","LEO (ISS), ISS flight 32P","ISS logistics, ISS flight 32P","18 May 15:14:45, ISS flight 32P","Successful, ISS flight 32P",,
11 February 00:03[34]-2009,"4435, 4436",Proton-M / Briz-M Enhanced,"Ekspress-AM44[35], Ekspress-MD1",RSCC,GEO,"Communication, Communications",In orbit,Operational,,
12 February 22:09:00[36]-2009,"4438, 4439, 4440, 4441",Ariane 5 ECA,"Hot Bird 10, NSS-9, Spirale-A, Spirale-B","Eutelsat, SES New Skies, CNES","GEO, Highly elliptical","Communications, Technology demonstration",In orbit,Operational,,
24 February 09:55:30[38]-2009,4443,Taurus-XL 3110,OCO,NASA,Intended: LEO (SSO),Climatology,24 February,Launch failure,,
26 February 18:29:55[39]-2009,4446,Zenit-3SLB,Telstar 11N,Telesat,GEO,Communications,In orbit,Operational,,
28 February 04:10-2009,4448,Proton-K / DM-2,Raduga-1,VKS,GEO,Communications,In orbit,Operational,,
7 March 03:49:57[41]-2009,"4451, 4452",Delta II 7925-10L,"Kepler, Exosolar planet research, operating in an Earth-trailing orbit[40]","NASA, Exosolar planet research, operating in an Earth-trailing orbit[40]","Heliocentric, Exosolar planet research, operating in an Earth-trailing orbit[40]","Exoplanetary science, Exosolar planet research, operating in an Earth-trailing orbit[40]","In orbit, Exosolar planet research, operating in an Earth-trailing orbit[40]","Operational, Exosolar planet research, operating in an Earth-trailing orbit[40]",,
15 March 23:43:44[42]-2009,"4454, 4455, 4456",Space Shuttle Discovery[43],"STS-119[44], ITS S6 Truss, Crewed flight with seven astronauts.","NASA, Crewed flight with seven astronauts.","LEO (ISS), Crewed flight with seven astronauts.","ISS assembly[45][46], ISS assembly, Crewed flight with seven astronauts.","28 March 19:13[47], In orbit, Crewed flight with seven astronauts.","Successful, Operational, Crewed flight with seven astronauts.",,
17 March 14:21[48]-2009,4458,Rokot / Briz-KM,GOCE,ESA,LEO,Gravitational research,11 November 2013 00:16,Successful,,
24 March 08:34:00[50]-2009,4460,Delta II 7925-9.5,USA-203 (GPS IIR-20/M7),U.S. Air Force,MEO,Navigation,In orbit,Partial spacecraft failure Operational,,
26 March 11:49:06-2009,"4462, 4463",Soyuz-FG,"Soyuz TMA-14[14], Crewed flight with three cosmonauts. First space tourist to make two flights.","Roscosmos, Crewed flight with three cosmonauts. First space tourist to make two flights.","LEO (ISS), Crewed flight with three cosmonauts. First space tourist to make two flights.","Expedition 19, Crewed flight with three cosmonauts. First space tourist to make two flights.","11 October 04:32, Crewed flight with three cosmonauts. First space tourist to make two flights.","Successful, Crewed flight with three cosmonauts. First space tourist to make two flights.",,
3 April 16:24-2009,4466,Proton-M / Briz-M Enhanced,Eutelsat W2A,Eutelsat,GEO,Communications,In orbit,Operational,,
4 April 00:31[51]-2009,4468,Atlas V 421,USA-204 (WGS-2),U.S. Air Force,GEO,Communications,In orbit,Operational,,
5 April 02:30:15[53]-2009,"4470, 4471",Unha-2,"Kwangmyŏngsŏng-2, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","KCST, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","Intended: LEO, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","Technology demonstration, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","5 April, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","Launch failure, North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.",,
14 April 16:16-2009,"4473, 4474",Long March 3C,"Compass-G2, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]","CNSA, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]","GEO, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]","Navigation, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]","In orbit, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]","Spacecraft failure, Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54]",,
20 April 01:15-2009,"4476, 4477",PSLV-CA,"RISAT-2, ANUSAT","ISRO, Anna University",LEO,"Radar imaging, Technology demonstration","30 October 2022 00:06[55], 18 April 2012",Successful,,
20 April 08:16-2009,4479,Zenit-3SL,Sicral-1B,ASI,GEO,Communications,In orbit,Operational,,
22 April 02:55-2009,4481,Long March 2C,Yaogan-6,CNSA,LEO (SSO),Earth observation,In orbit,Operational,,
29 April 16:58-2009,4483,Soyuz-U,Kosmos 2450 (Kobal't-M),VKS,LEO,Optical reconnaissance,27 July,Successful,,
5 May 20:24:25[14][51]-2009,4486,Delta II 7920-10C,USA-205 (STSS-ATRR),U.S. Air Force / MDA,LEO (SSO),Missile defence Technology demonstration,In orbit,Operational,,
7 May 18:37-2009,"4488, 4489",Soyuz-U,"Progress M-02M, ISS flight 33P","Roscosmos, ISS flight 33P","LEO (ISS), ISS flight 33P","ISS logistics, ISS flight 33P","13 July 16:28:47, ISS flight 33P","Successful, ISS flight 33P",,
11 May 18:01-2009,"4491, 4492",Space Shuttle Atlantis[43],"STS-125[56], Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","NASA[57], Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","LEO (HST), Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","HST servicing flight[58][59], Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","24 May 15:39, Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Successful, Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.",,
14 May[60] 13:12-2009,"4494, 4495",Ariane 5 ECA,"Herschel[61], Planck[62]",ESA,Sun–Earth L2,"Infrared astronomy, Space telescope",In orbit,Operational,,
16 May 00:57-2009,4497,Proton-M / Briz-M Enhanced,ProtoStar II,ProtoStar,GEO,Communications,In orbit,Operational,,
19 May 23:55-2009,"4499, 4500, 4501, 4502, 4503, 4504",Minotaur I,"TacSat-3, PharmaSat, ⚀ AeroCube 3, ⚀ HawkSat I[63], ⚀ CP6[63], All payloads except TacSat-3 and Pharmasat are CubeSats.","USAF-RL, NASA, Aerospace Corporation, HISS, CalPoly, All payloads except TacSat-3 and Pharmasat are CubeSats.","LEO, All payloads except TacSat-3 and Pharmasat are CubeSats.","Technology demonstration, Biological, Technology demonstration[63][64], All payloads except TacSat-3 and Pharmasat are CubeSats.","30 April 2012, 14 August 2012, 6 January 2011, 4 September 2011, 6 October 2011, All payloads except TacSat-3 and Pharmasat are CubeSats.","Successful, All payloads except TacSat-3 and Pharmasat are CubeSats.",,
21 May 21:53-2009,"4506, 4507",Soyuz-2.1a / Fregat,"Meridian 2[66], Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","VKS, Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Intended: Molniya Achieved: MEO, Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Communications, Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","23 April 2021 04:48[69], Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Launch failure[68], Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]",,
27 May 10:34:42-2009,"4509, 4510",Soyuz-FG,"Soyuz TMA-15, Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Roscosmos, Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","LEO (ISS), Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Expedition 20, Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","1 December 07:17, Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Successful, Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.",,
18 June[70] 21:32-2009,"4513, 4514, 4515",Atlas V 401,"LRO, LCROSS, LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]","NASA, LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]","Selenocentric, High Earth (TLI), LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]","Lunar orbiter, Lunar impactor, LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]","In orbit, 9 October 11:37, LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]","Operational, Successful, LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5]",,
21 June 21:50-2009,4517,Zenit-3SLB,MEASAT-3a,MEASAT,GEO,Communications,In orbit,Operational,,
27 June 22:51[71]-2009,4519,"Delta IV-M+ (4,2)",GOES-O (GOES-14),NOAA / NASA,GEO,Meteorology,In orbit,Operational,,
30 June 19:10-2009,4521,Proton-M / Briz-M Enhanced,Sirius FM-5 (RadioSat-5),Sirius XM,GEO,Communications,In orbit,Operational,,
1 July 17:52[72]-2009,4524,Ariane 5 ECA,TerreStar-1,TerreStar,GEO,Communications,In orbit,Operational,,
6 July 01:26-2009,"4526, 4527, 4528",Rokot / Briz-KM,"Kosmos 2451 (Rodnik), Kosmos 2452 (Rodnik), Kosmos 2453 (Rodnik)",VKS,LEO,Communications,In orbit,Operational,,
14 July 03:35[73]-2009,"4530, 4531",Falcon 1,"RazakSat-1 (MACSat), ","ATSB, Final flight of Falcon 1.[4]","LEO, Final flight of Falcon 1.[4]","Earth observation, Final flight of Falcon 1.[4]","In orbit, Final flight of Falcon 1.[4]","Spacecraft failure, Final flight of Falcon 1.[4]",Final flight,
15 July[71] 22:03-2009,"4533, 4534, 4535, 4536, 4537, 4538, 4539",Space Shuttle Endeavour[44],"STS-127, JEM-EF, AggieSat 2, BEVO-1, Castor[75], Pollux[75], Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","NASA, JAXA, NRL, Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","LEO (ISS), LEO, Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","ISS assembly, Technology demonstration, Atmospheric science, Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","31 July 14:48, In orbit, 17 March 2010 18:26[74], 18 August 2010 17:48[76], 29 March 2010, Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Successful, Operational, Partial spacecraft failure Successful, Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.",,
21 July 03:57:43-2009,"4541, 4542",Kosmos-3M,"Kosmos 2454 (Parus), Sterkh-1","VKS, Roscosmos",LEO,"Navigation Communications, Communications Search and rescue",In orbit,"Operational, Spacecraft failure",,
24 July 10:56:51-2009,"4544, 4545",Soyuz-U,"Progress M-67, ","Roscosmos, Final flight of original Progress-M; ISS flight 34P","LEO (ISS), Final flight of original Progress-M; ISS flight 34P","ISS logistics, Final flight of original Progress-M; ISS flight 34P","27 September 10:19:11, Final flight of original Progress-M; ISS flight 34P","Successful, Final flight of original Progress-M; ISS flight 34P",Final flight,
29 July 18:46-2009,"4547, 4548, 4549, 4550, 4551, 4552",Dnepr,"DubaiSat-1, Deimos-1, UK-DMC 2, Nanosat 1B, AprizeSat-3, AprizeSat-4","EIAST, Deimos Space, BNSC (2009-2010) UKSA (2010—), INTA, LatinSat",LEO (SSO),"Earth observation, Communications",In orbit,Operational,,
11 August 19:47-2009,4555,Proton-M / Briz-M,AsiaSat 5,AsiaSat,GEO,Communications,In orbit,Operational,,
17 August 10:35:00-2009,"4557, 4558",Delta II 7925-9.5,"USA-206 (GPS IIR-21/M8), Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","U.S. Air Force, Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","MEO, Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Navigation, Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","In orbit, Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Operational, Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925",,
21 August 22:09-2009,"4560, 4561",Ariane 5 ECA,"JCSAT-12, Optus D3","SKY Perfect JSAT Group, Optus",GEO,Communications,In orbit,Operational,,
25 August[80] 08:00-2009,4563,Naro-1,STSAT-2A,KARI[82],Intended: LEO,Technology demonstration,25 August,Launch failure[83],,
