Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Zenit-3SL,Eutelsat 70B,Eutelsat,GEO,Communications,In orbit,,,1,353,2012.0,12.0,0.0,20.0
Proton-M / Briz-M Enhanced,Yamal-402,Gazprom,GEO,Communications,In orbit,,,1,237,2012.0,12.0,5.0,13.0
Proton-M / Briz-M Enhanced,Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],Briz-M stage failure 4 minutes before scheduled shut down on its fourth burn.[135],,,0,237,2012.0,12.0,5.0,13.0
Atlas V 501,USA-240 (X-37B OTV-3),U.S. Air Force,LEO,Technology demonstration,17 October 2014,,,1,49,2012.0,12.0,1.0,18.0
Atlas V 501,270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],270-day X-37B endurance mission ultimately extended to over 680 days.[137],,,0,49,2012.0,12.0,1.0,18.0
Unha-3,Kwangmyŏngsŏng-3 Unit 2,KCST,LEO,Technology demonstration,In orbit,,,0,344,2012.0,12.0,2.0,0.0
Unha-3,First successful North Korean orbital launch,First successful North Korean orbital launch,First successful North Korean orbital launch,First successful North Korean orbital launch,First successful North Korean orbital launch,,,0,344,2012.0,12.0,2.0,0.0
Unha-3,first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140],first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140],first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140],first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140],first North Korean satellite;[139] satellite reached orbit but malfunctioned thereafter.[140],,,0,344,2012.0,12.0,2.0,0.0
Long March 2D,Göktürk-2,MSB,LEO (SSO),Earth observation,In orbit,,,1,154,2012.0,12.0,1.0,16.0
Soyuz-FG,Soyuz TMA-07M,Roscosmos,LEO (ISS),Expedition 34/35,14 May 2013 02:31,,,1,283,2012.0,12.0,2.0,12.0
Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,,,0,283,2012.0,12.0,2.0,12.0
Ariane 5 ECA,Skynet 5D,Astrium,GEO,Communications,In orbit,,,1,19,2012.0,12.0,2.0,21.0
Ariane 5 ECA,Mexsat-3,SCT,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,,,0,19,2012.0,12.0,2.0,21.0
Ariane 5 ECA,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,Skynet 5D military communications satellite operated by Astrium Services on behalf of the British Ministry of Defence.,,,0,19,2012.0,12.0,2.0,21.0
Rokot / Briz-KM,Kosmos 2482 (Strela-3M),VKO,LEO,Communications,In orbit,,,1,252,2013.0,1.0,1.0,16.0
Rokot / Briz-KM,Kosmos 2483 (Strela-3M),Briz-KM failed around the time of spacecraft separation,Briz-KM failed around the time of spacecraft separation,Briz-KM failed around the time of spacecraft separation,Briz-KM failed around the time of spacecraft separation,,,0,252,2013.0,1.0,1.0,16.0
Rokot / Briz-KM,Kosmos 2484 (Strela-3M),resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,,,0,252,2013.0,1.0,1.0,16.0
Rokot / Briz-KM,Briz-KM failed around the time of spacecraft separation,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,,,0,252,2013.0,1.0,1.0,16.0
Rokot / Briz-KM,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,resulting in the loss of one satellite.,,,0,252,2013.0,1.0,1.0,16.0
H-IIA 202,IGS Radar 4,CSIC,LEO (SSO),Reconnaissance,In orbit,,,1,132,2013.0,1.0,6.0,4.0
H-IIA 202,IGS Optical 5V,CSIC,LEO (SSO),Technology demonstration,20 February 2019[4],,,1,132,2013.0,1.0,6.0,4.0
Naro-1,STSAT-2C,KARI,LEO,Technology demonstration,13 November 2019[5],,,1,200,2013.0,1.0,2.0,7.0
Naro-1,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,First successful launch of Naro-1; first successful South Korean launch with Russian assistance; final flight of Naro-1.,,,0,200,2013.0,1.0,2.0,7.0
Atlas V 401,TDRS-K (TDRS-11),NASA,GEO,Communications,In orbit,,,1,44,2013.0,1.0,3.0,1.0
Zenit-3SL,Intelsat 27,Intelsat,Intended: GEO,Communications,+40 seconds,,,0,353,2013.0,2.0,4.0,6.0
Zenit-3SL,First stage failure,First stage failure,First stage failure,First stage failure,First stage failure,,,0,353,2013.0,2.0,4.0,6.0
Zenit-3SL,impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s,impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s,impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s,impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s,impacted ocean at 40 seconds after launch. Accident caused by failure of the first stage hydraulic power supply unit pump at T+3.9s,,,0,353,2013.0,2.0,4.0,6.0
Zenit-3SL,which lead to loss of engine gimbal control.[6],which lead to loss of engine gimbal control.[6],which lead to loss of engine gimbal control.[6],which lead to loss of engine gimbal control.[6],which lead to loss of engine gimbal control.[6],,,0,353,2013.0,2.0,4.0,6.0
Soyuz-2.1a / Fregat,Globalstar M078,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Soyuz-2.1a / Fregat,Globalstar M093,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Soyuz-2.1a / Fregat,Globalstar M094,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Soyuz-2.1a / Fregat,Globalstar M095,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Soyuz-2.1a / Fregat,Globalstar M096,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Soyuz-2.1a / Fregat,Globalstar M097,Globalstar,LEO,Communications,In orbit,,,1,276,2013.0,2.0,2.0,16.0
Ariane 5 ECA,Azerspace-1/Africasat-1a,AMAKA,GEO,Communications,In orbit,,,1,19,2013.0,2.0,3.0,21.0
Ariane 5 ECA,Amazonas 3,Hispasat,GEO,Communications,In orbit,,,1,19,2013.0,2.0,3.0,21.0
Soyuz-U,Progress M-18M / 50P,Roscosmos,LEO (ISS),ISS logistics,26 July,,,1,288,2013.0,2.0,0.0,14.0
Atlas V 401,Landsat DCM,USGS,LEO (SSO),Remote sensing,In orbit,,,1,44,2013.0,2.0,0.0,18.0
PSLV-CA,SARAL,ISRO / CNES,LEO (SSO),Oceanography,In orbit,,,1,203,2013.0,2.0,0.0,12.0
PSLV-CA,Sapphire,DND,TUGSAT-1 is the first Austrian satellite.,Space surveillance,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,NEOSSat,CSA,TUGSAT-1 is the first Austrian satellite.,Asteroid detection,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,UniBRITE-1,University of Vienna,TUGSAT-1 is the first Austrian satellite.,Optical astronomy,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,TUGSAT-1,TU Graz,TUGSAT-1 is the first Austrian satellite.,Technology demonstration,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,⚀ AAUSAT3,Aalborg,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,⚀ STRaND-1,SSTL,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
PSLV-CA,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,TUGSAT-1 is the first Austrian satellite.,,,0,203,2013.0,2.0,0.0,12.0
Falcon 9 v1.0,SpaceX CRS-2,NASA,LEO (ISS),ISS logistics,26 March 16:34,Final flight,,1,120,2013.0,3.0,4.0,15.0
Falcon 9 v1.0,,Final flight of Falcon 9 v1.0,Final flight of Falcon 9 v1.0,Final flight of Falcon 9 v1.0,Final flight of Falcon 9 v1.0,Final flight,,0,120,2013.0,3.0,4.0,15.0
Atlas V 401,USA-241 (SBIRS-GEO 2),US Air Force,GEO,Missile defense,In orbit,,,1,44,2013.0,3.0,1.0,21.0
Proton-M / Briz-M,Satmex 8,Satmex,GEO,Communications,In orbit,,,1,236,2013.0,3.0,1.0,19.0
Soyuz-FG,Soyuz TMA-08M,Roscosmos,LEO (ISS),Expedition 35/36,11 September 02:58,,,1,283,2013.0,3.0,3.0,20.0
Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,,,0,283,2013.0,3.0,3.0,20.0
Proton-M / Briz-M,Anik G1,Telesat,GEO,Communications,In orbit,,,1,236,2013.0,4.0,0.0,18.0
Soyuz-2.1a,Bion-M No.1,Roscosmos,LEO,Biological science,19 May 03:12,,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,AIST No.2,SSAU,LEO,Technology demonstration,In orbit,,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,⚀ Dove 2,Cosmogia,LEO,Amateur radio,8 July[7],,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,⚀ BeeSat 2,TU Berlin,LEO,Amateur radio,8 July[7],,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,⚀ BeeSat 3,TU Dresden,LEO,Amateur radio,8 July[7],,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,⚀ SOMP,OSSI,LEO,Amateur radio,8 July[7],,,1,275,2013.0,4.0,4.0,10.0
Soyuz-2.1a,⚀ OSSI-1,OSSI,LEO,Amateur radio,8 July[7],,,1,275,2013.0,4.0,4.0,10.0
Antares 110,Cygnus Mass Simulator,NASA,LEO,Test flight,10 May,,,1,2,2013.0,4.0,6.0,21.0
Antares 110,⚀ Alexander (PhoneSat-2.0),Cosmogia,LEO,Technology demonstration,27 April,,,1,2,2013.0,4.0,6.0,21.0
Antares 110,⚀ Graham (PhoneSat-1.0),Cosmogia,LEO,Technology demonstration,27 April,,,1,2,2013.0,4.0,6.0,21.0
Antares 110,⚀ Bell (PhoneSat-1.0),Cosmogia,LEO,Technology demonstration,27 April,,,1,2,2013.0,4.0,6.0,21.0
Antares 110,⚀ Dove 1,Cosmogia,LEO,Technology demonstration,27 April,,,1,2,2013.0,4.0,6.0,21.0
Soyuz-U,Progress M-19M / 51P,Roscosmos,LEO (ISS),ISS logistics,19 June,,,1,288,2013.0,4.0,2.0,10.0
Long March 2D,Gaofen 1,CNSA,LEO (SSO),Earth observation,In orbit,,,1,154,2013.0,4.0,4.0,4.0
Long March 2D,⚀ TurkSat-3USat,ITU,LEO (SSO)],Technology demonstration,NEE-01 Pegaso is the first Ecuadorian satellite.,,,0,154,2013.0,4.0,4.0,4.0
Long March 2D,⚀ NEE-01 Pegaso,EXA,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,,,0,154,2013.0,4.0,4.0,4.0
Long March 2D,⚀ CubeBug-1,INVAP,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,,,0,154,2013.0,4.0,4.0,4.0
Long March 2D,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,NEE-01 Pegaso is the first Ecuadorian satellite.,,,0,154,2013.0,4.0,4.0,4.0
Soyuz-2.1b / Fregat,Kosmos 2485 (GLONASS-M 747),VKO,MEO,Navigation,In orbit,,,1,281,2013.0,4.0,4.0,5.0
Long March 3B/E,ChinaSat 11,China Satcom,GEO,Communications,In orbit,,,1,164,2013.0,5.0,2.0,16.0
Vega,Proba-V,ESA,LEO (SSO),Technology demonstration,In orbit,,,1,347,2013.0,5.0,1.0,2.0
Vega,VNREDSat 1A,VAST,ESTCube-1 is the first Estonian satellite.,Earth observation,ESTCube-1 is the first Estonian satellite.,,,0,347,2013.0,5.0,1.0,2.0
Vega,⚀ ESTCube-1,Tartu,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,,,0,347,2013.0,5.0,1.0,2.0
Vega,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,ESTCube-1 is the first Estonian satellite.,,,0,347,2013.0,5.0,1.0,2.0
Proton-M / Briz-M,Eutelsat 3D,Eutelsat,GEO,Communications,In orbit,,,1,236,2013.0,5.0,1.0,16.0
Atlas V 401,USA-242 (GPS IIF-4),U.S. Air Force,MEO,Navigation,In orbit,,,1,44,2013.0,5.0,2.0,21.0
Atlas V 401,Named after Star Vega.,Named after Star Vega.,Named after Star Vega.,Named after Star Vega.,Named after Star Vega.,,,0,44,2013.0,5.0,2.0,21.0
"Delta IV-M+ (5,4)",USA-243 (WGS-5),U.S. Air Force,GEO,Communications,In orbit,,,1,109,2013.0,5.0,5.0,0.0
Soyuz-FG,Soyuz TMA-09M,Roscosmos,LEO (ISS),Expedition 36/37,11 November 02:49,,,1,283,2013.0,5.0,1.0,20.0
Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,,,0,283,2013.0,5.0,1.0,20.0
Proton-M / Briz-M,SES-6,SES S.A.,GEO,Communications,In orbit,,,1,236,2013.0,6.0,0.0,9.0
Ariane 5 ES,Albert Einstein ATV,ESA,LEO (ISS),ISS logistics,28 October,,,1,23,2013.0,6.0,2.0,21.0
Soyuz-2.1b,Kosmos 2486 (Persona №2),VKO,LEO (SSO),Optical reconnaissance,In orbit,,,1,280,2013.0,6.0,4.0,18.0
Long March 2F,Shenzhou 10,CMSA,LEO (Tiangong-1),Technology demonstration,26 June 00:07,,,1,157,2013.0,6.0,1.0,9.0
Long March 2F,China's fifth crewed spaceflight mission (2 men,China's fifth crewed spaceflight mission (2 men,China's fifth crewed spaceflight mission (2 men,China's fifth crewed spaceflight mission (2 men,China's fifth crewed spaceflight mission (2 men,,,0,157,2013.0,6.0,1.0,9.0
Long March 2F,1 woman astronaut) to Tiangong-1 space lab.,1 woman astronaut) to Tiangong-1 space lab.,1 woman astronaut) to Tiangong-1 space lab.,1 woman astronaut) to Tiangong-1 space lab.,1 woman astronaut) to Tiangong-1 space lab.,,,0,157,2013.0,6.0,1.0,9.0
Soyuz-2.1b,Resurs-P No.1,Roscosmos,LEO (SSO),Remote sensing,In orbit,,,1,280,2013.0,6.0,1.0,17.0
Soyuz-2.1b,On 26 June 2024 the satellite was involved in a debris-generating event,On 26 June 2024 the satellite was involved in a debris-generating event,On 26 June 2024 the satellite was involved in a debris-generating event,On 26 June 2024 the satellite was involved in a debris-generating event,On 26 June 2024 the satellite was involved in a debris-generating event,,,0,280,2013.0,6.0,1.0,17.0
Soyuz-2.1b,with more than 100 debris identified as a result of the incident.[8],with more than 100 debris identified as a result of the incident.[8],with more than 100 debris identified as a result of the incident.[8],with more than 100 debris identified as a result of the incident.[8],with more than 100 debris identified as a result of the incident.[8],,,0,280,2013.0,6.0,1.0,17.0
Soyuz-STB / Fregat,O3b PFM,O3b Networks,MEO,Communications,In orbit,,,1,287,2013.0,6.0,1.0,19.0
Soyuz-STB / Fregat,O3b FM2,O3b Networks,MEO,Communications,In orbit,,,1,287,2013.0,6.0,1.0,19.0
Soyuz-STB / Fregat,O3b FM4,O3b Networks,MEO,Communications,In orbit,,,1,287,2013.0,6.0,1.0,19.0
Soyuz-STB / Fregat,O3b FM5,O3b Networks,MEO,Communications,In orbit,,,1,287,2013.0,6.0,1.0,19.0
Strela,Kosmos 2487 (Kondor No.202),Roscosmos,LEO,Radar imaging[10],29 November 2022[11],,,1,313,2013.0,6.0,3.0,16.0
Pegasus-XL,IRIS,NASA,LEO (SSO),Heliophysics,In orbit,,,1,210,2013.0,6.0,4.0,2.0
PSLV-XL,IRNSS-1A,ISRO,GEO,Navigation,In orbit,,,1,206,2013.0,7.0,0.0,18.0
Proton-M / DM-03 Enhanced,GLONASS-M 748,VKO,Intended: MEO,Navigation,2 July,,,0,240,2013.0,7.0,1.0,2.0
Proton-M / DM-03 Enhanced,GLONASS-M 749,First stage guidance failure due to angular velocity sensors installed upside down,First stage guidance failure due to angular velocity sensors installed upside down,First stage guidance failure due to angular velocity sensors installed upside down,First stage guidance failure due to angular velocity sensors installed upside down,,,0,240,2013.0,7.0,1.0,2.0
Proton-M / DM-03 Enhanced,GLONASS-M 750,rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],,,0,240,2013.0,7.0,1.0,2.0
Proton-M / DM-03 Enhanced,First stage guidance failure due to angular velocity sensors installed upside down,rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],,,0,240,2013.0,7.0,1.0,2.0
Proton-M / DM-03 Enhanced,rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],rocket crashed near launch pad.[12],,,0,240,2013.0,7.0,1.0,2.0
Long March 2C,Shijian 11-05,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,151,2013.0,7.0,0.0,9.0
Atlas V 551,MUOS-2,U.S. Navy,GEO,Communications,In orbit,,,1,53,2013.0,7.0,4.0,13.0
Long March 4C,Shijian 15,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,175,2013.0,7.0,4.0,23.0
Long March 4C,Shiyan 7,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,175,2013.0,7.0,4.0,23.0
Long March 4C,Chuang Xin 3,CNSA,LEO (SSO),Technology demonstration,In orbit,,,1,175,2013.0,7.0,4.0,23.0
Ariane 5 ECA,Alphasat I-XL (Inmarsat-XL),ESA / Inmarsat,GEO,Technology demonstration / Communications,In orbit,,,1,19,2013.0,7.0,3.0,19.0
Ariane 5 ECA,INSAT-3D,ISRO,First Alphabus satellite.,Meteorology,First Alphabus satellite.,,,0,19,2013.0,7.0,3.0,19.0
Ariane 5 ECA,First Alphabus satellite.,First Alphabus satellite.,First Alphabus satellite.,First Alphabus satellite.,First Alphabus satellite.,,,0,19,2013.0,7.0,3.0,19.0
Soyuz-U,Progress M-20M / 52P,Roscosmos,LEO (ISS),ISS logistics,11 February 2014,,,1,288,2013.0,7.0,5.0,20.0
H-IIB,Kounotori 4,JAXA,LEO (ISS),ISS logistics,7 September,,,1,138,2013.0,8.0,5.0,19.0
H-IIB,⚀ TechEdSat-3p,NASA Ames,LEO,Technology demonstration,16 January 2014,,,1,138,2013.0,8.0,5.0,19.0
H-IIB,⚀ PicoDragon,VNSC,LEO,Technology demonstration,28 February 2014,,,1,138,2013.0,8.0,5.0,19.0
H-IIB,⚀ ArduSat-1,NanoSatisfi,LEO,Technology demonstration,16 April 2014,,,1,138,2013.0,8.0,5.0,19.0
H-IIB,⚀ ArduSat-X,NanoSatisfi,LEO,Technology demonstration,15 April 2014,,,1,138,2013.0,8.0,5.0,19.0
"Delta IV-M+ (5,4)",USA-244 (WGS-6),U.S. Air Force,GEO,Communications,In orbit,,,1,109,2013.0,8.0,3.0,0.0
Dnepr,KOMPSat-5 (Arirang-5),KARI,LEO (SSO),Remote sensing,In orbit,,,1,111,2013.0,8.0,3.0,14.0
Delta IV Heavy,USA-245 (KH-11),NRO,LEO (SSO),Optical Imaging[13],In orbit,,,1,96,2013.0,8.0,2.0,18.0
Delta IV Heavy,NRO Launch 65; final KH-11 satellite.,NRO Launch 65; final KH-11 satellite.,NRO Launch 65; final KH-11 satellite.,NRO Launch 65; final KH-11 satellite.,NRO Launch 65; final KH-11 satellite.,,,0,96,2013.0,8.0,2.0,18.0
Ariane 5 ECA,Eutelsat 25B/Es'hail 1,Eutelsat / Es'hailSat,GEO,Communications,In orbit,,,1,19,2013.0,8.0,3.0,20.0
Ariane 5 ECA,GSAT-7,ISRO,GEO,Communications,In orbit,,,1,19,2013.0,8.0,3.0,20.0
Zenit-3SLB,Amos-4,SCL,GEO,Communications,In orbit,,,1,354,2013.0,8.0,5.0,20.0
Long March 4C,Yaogan 17A,CNSA,LEO,ELINT,In orbit,,,1,175,2013.0,9.0,6.0,19.0
Long March 4C,Yaogan 17B,CNSA,LEO,ELINT,In orbit,,,1,175,2013.0,9.0,6.0,19.0
Long March 4C,Yaogan 17C,CNSA,LEO,ELINT,In orbit,,,1,175,2013.0,9.0,6.0,19.0
Minotaur V,LADEE,NASA,Selenocentric,Lunar orbiter,18 April 2014 04:30,,,1,190,2013.0,9.0,5.0,3.0
Rokot / Briz-KM,Gonets-M 5,Gonets Satellite System,LEO,Communications,In orbit,,,1,252,2013.0,9.0,2.0,23.0
Rokot / Briz-KM,Gonets-M 6,Gonets Satellite System,LEO,Communications,In orbit,,,1,252,2013.0,9.0,2.0,23.0
Rokot / Briz-KM,Gonets-M 7,Gonets Satellite System,LEO,Communications,In orbit,,,1,252,2013.0,9.0,2.0,23.0
Epsilon,Hisaki (SPRINT-A),JAXA,LEO,Ultraviolet astronomy,In orbit,,,1,114,2013.0,9.0,5.0,5.0
Atlas V 531,USA-246 (AEHF-3),U.S. Air Force,GEO,Communications,In orbit,,,1,51,2013.0,9.0,2.0,8.0
Antares 110,Cygnus 1 S.S. G. David Low,NASA,LEO (ISS),ISS logistics / Test flight,23 October 18:16,,,1,2,2013.0,9.0,2.0,14.0
Long March 4C,Fengyun 3C,CMA,LEO (SSO),Meteorology,In orbit,,,1,175,2013.0,9.0,0.0,3.0
Kuaizhou,Kuaizhou-1,CAS,LEO (SSO),Optical imaging,1 September 2015[17],,,1,142,2013.0,9.0,2.0,4.0
Soyuz-FG,Soyuz TMA-10M,Roscosmos,LEO (ISS),Expedition 37/38,11 March 2014 03:24,,,1,283,2013.0,9.0,2.0,20.0
Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,,,0,283,2013.0,9.0,2.0,20.0
Falcon 9 v1.1,CASSIOPE,MDA Corporation,LEO,Communications/science[18],In orbit,,,1,122,2013.0,9.0,6.0,16.0
Falcon 9 v1.1,CUSat[19],Cornell,LEO,Technology demonstration,In orbit,,,1,122,2013.0,9.0,6.0,16.0
Falcon 9 v1.1,DANDE[19],CU-Boulder,LEO,Atmospheric research,In orbit,,,1,122,2013.0,9.0,6.0,16.0
Falcon 9 v1.1,⚀ POPACS-1[19],Drexel,LEO,Atmospheric research,In orbit,,,1,122,2013.0,9.0,6.0,16.0
Falcon 9 v1.1,⚀ POPACS-2[19],Drexel,LEO,Atmospheric research,In orbit,,,1,122,2013.0,9.0,6.0,16.0
Falcon 9 v1.1,⚀ POPACS-3[19],Drexel,LEO,Atmospheric research,In orbit,,,1,122,2013.0,9.0,6.0,16.0
Proton-M / Briz-M,Astra 2E,SES S.A.,GEO,Communications,In orbit,,,1,236,2013.0,9.0,6.0,21.0
Long March 4B,Shijian 16-01,CNSA,LEO,Technology demonstration,In orbit,,,1,173,2013.0,10.0,4.0,3.0
Proton-M / Briz-M,Sirius FM-6,Sirius Satellite Radio,GEO,Communications,In orbit,,,1,236,2013.0,10.0,4.0,18.0
Long March 2C,Yaogan 18,CNSA,LEO (SSO),Reconnaissance,7 April 2021 00:35[20],,,1,151,2013.0,10.0,1.0,2.0
PSLV-XL,Mars Orbiter Mission (Mangalyaan),ISRO,Areocentric,Mars orbiter,In orbit,,,1,206,2013.0,11.0,1.0,9.0
PSLV-XL,India's first interplanetary mission. Last contact with orbiter in April 2022.,India's first interplanetary mission. Last contact with orbiter in April 2022.,India's first interplanetary mission. Last contact with orbiter in April 2022.,India's first interplanetary mission. Last contact with orbiter in April 2022.,India's first interplanetary mission. Last contact with orbiter in April 2022.,,,0,206,2013.0,11.0,1.0,9.0
Soyuz-FG,Soyuz TMA-11M,Roscosmos,LEO (ISS),Expedition 38/39,14 May 2014 01:58,,,1,283,2013.0,11.0,3.0,4.0
Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,,,0,283,2013.0,11.0,3.0,4.0
Proton-M / Briz-M,Raduga-1M 3,VKO,GEO,Communications,In orbit,,,1,236,2013.0,11.0,0.0,23.0
Atlas V 401,MAVEN,NASA,Areocentric,Martian atmospheric research,In orbit,,,1,44,2013.0,11.0,0.0,18.0
Atlas V 401,NASA space probe to study the Martian atmosphere.[22],NASA space probe to study the Martian atmosphere.[22],NASA space probe to study the Martian atmosphere.[22],NASA space probe to study the Martian atmosphere.[22],NASA space probe to study the Martian atmosphere.[22],,,0,44,2013.0,11.0,0.0,18.0
Minotaur I,ORS-3,ORS,LEO,Technology demonstration,25 December 2015[24],,,1,185,2013.0,11.0,2.0,1.0
Minotaur I,STPSat 3,USAF STP,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Atmospheric science,11 March 2023[25],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ ORSES,SOCOM,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,3 January 2016[26],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ ORS Tech 1,USAF SMC,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,23 March 2015[27],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ ORS Tech 2,NASA / NRO,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,3 April 2015[28],,,0,185,2013.0,11.0,2.0,1.0
Minotaur I,⚀ Prometheus 1A,LLNL,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,Largest number of satellites launched on a single rocket (31). ORS-3 will remain attached to upper stage.,12 December 2015[29],,,0,185,2013.0,11.0,2.0,1.0
