DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Long March 3A,Compass-IGSO4,CNSA,IGSO,Navigation,In orbit,Operational,2011
,Long March 2C,Shijian 11-02,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2011
,Atlas V 551,Juno,NASA,Jovicentric,Jupiter orbiter,In orbit,Operational,2011
,Ariane 5 ECA,Astra 1N,SES Astra (August–September) SES S.A. (September—),Geosynchronous,Communications,In orbit,Operational,2011
,Ariane 5 ECA,BSAT-3c / JCSAT-110R,BSAT / JSAT,Geosynchronous,Communications,In orbit,Operational,2011
,Long March 3B/E,Paksat-1R,SUPARCO,Geosynchronous,Communications,In orbit,Operational,2011
,Long March 4B,Hai Yang 2A,CAST,Low Earth (SSO),Oceanography,In orbit,Operational,2011
,Dnepr,Sich-2,NKAU,Low Earth (SSO),Earth observation,In orbit,Operational,2011
,Dnepr,NigeriaSat-2,NASRDA,Low Earth (SSO),Earth observation,In orbit,Operational,2011
,Dnepr,NigeriaSat-X,NASRDA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2011
,Dnepr,RASAT,TÜBİTAK,Low Earth (SSO),Earth observation,In orbit,Successful,2011
,Dnepr,EduSAT,GAUSS Srl,Low Earth (SSO),Technology demonstration,In orbit,Operational,2011
,Dnepr,AprizeSat-5,exactEarth,Low Earth (SSO),Communications,In orbit,Operational,2011
,Dnepr,AprizeSat-6,exactEarth,Low Earth (SSO),Communications,In orbit,Operational,2011
,Dnepr,BPA-2,Hartron-Arkos,Low Earth (SSO),Technology demonstration,In orbit,Successful,2011
,Proton-M / Briz-M Enhanced,Ekspress AM-4,RSCC,Intended: Geosynchronous Achieved: GTO,Communications,25 March 2012,Launch failure,2011
,Proton-M / Briz-M Enhanced,"Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.","Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.[51]","Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.[51]","Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.[51]","Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.[51]","Briz-M upper stage failed before the planned fourth burn. An insufficient time slot was allocated for re-setting the gyroscopes of the upper stage control system before launch, which led to loss of adequate attitude control in flight.",2011
,Long March 2C,Shijian 11-04,CNSA,Intended: Low Earth (SSO),Technology demonstration,18 August,Launch failure,2011
,Long March 2C,"Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.","Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.[53]","Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.[53]","Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.[53]","Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.[53]","Failed to reach orbit. Second stage's vernier engine support structure failed in flight, led to loss of attitude control.",2011
,Soyuz-U,Progress M-12M / 44P,Roscosmos,Intended: Low Earth (ISS),ISS logistics,24 August,Launch failure,2011
,Soyuz-U,Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.,Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.[55],Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.[55],Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.[55],Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.[55],Third stage engine failure 325 seconds after launch due to the gas generator fuel supply pipeline being blocked by contaminants.,2011
,Delta II 7920H,GRAIL-A (Ebb),NASA,Selenocentric,Lunar orbiter,17 December 2012 22:28:51[58],Successful,2011
,Delta II 7920H,GRAIL-B (Flow),NASA,Selenocentric,Lunar orbiter,17 December 2012 22:29:21[58],Successful,2011
,Delta II 7920H,"Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.","Final launch of Delta II Heavy, final Delta II launch from Cape Canaveral, and last launch from SLC-17.",2011
,Long March 3B/E,Chinasat-1A,China Satcom,Geosynchronous,Communications,In orbit,Operational,2011
,Proton-M / Briz-M,Kosmos 2473 (Garpun #1),VKS,Geosynchronous,Communications,In orbit,Operational,2011
,Ariane 5 ECA,Arabsat 5C,Arabsat,Geosynchronous,Communications,In orbit,Operational,2011
,Ariane 5 ECA,SES-2,SES S.A.,Geosynchronous,Communications,In orbit,Operational,2011
,H-IIA,IGS Optical 4,CSICE,Low Earth (SSO),Reconnaissance,In orbit,Successful,2011
,Zenit-3SL,Atlantic Bird 7,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2011
,Minotaur IV+,TacSat-4,U.S. Air Force,Highly elliptical,Technology demonstration,In orbit,Operational,2011
,Long March 2F/G,Tiangong-1,CMSA,Low Earth,Space station,2 April 2018 00:16[62],Successful,2011
,Proton-M / Briz-M Enhanced,QuetzSat 1,SES Satellite Leasing,Geosynchronous,Communications,In orbit,Operational,2011
,Proton-M / Briz-M Enhanced,Intended for lease to QuetzSat.,Intended for lease to QuetzSat.,Intended for lease to QuetzSat.,Intended for lease to QuetzSat.,Intended for lease to QuetzSat.,Intended for lease to QuetzSat.,2011
,Soyuz-2.1b / Fregat,Kosmos 2474 (Glonass-M 742),VKS,Medium Earth,Navigation,In orbit,Operational,2011
,Zenit-3SLB,Intelsat 18,Intelsat,Geosynchronous,Communications,In orbit,Operational,2011
,Long March 3B/E,Eutelsat W3C,Eutelsat,Geosynchronous,Communications,In orbit,Operational,2011
,PSLV-CA,Megha-Tropiques,ISRO / CNES,Low Earth,Climatology,7 March 2023[65],Successful,2011
,PSLV-CA,SRMSAT,SRM,Low Earth,Climatology,In orbit,Operational,2011
,PSLV-CA,VesselSat-1,Luxspace,Low Earth,Communications,In orbit,Operational,2011
,PSLV-CA,⚀ Jugnu,IITK,Low Earth,Earth observation,In orbit,Operational,2011
,Proton-M / Briz-M Enhanced,ViaSat-1,ViaSat-IOM / ManSat,Geosynchronous,Communications,In orbit,Operational,2011
,Soyuz ST-B / Fregat-MT,Galileo IOV 1,ESA,Medium Earth,Navigation / Technology demonstration,In orbit,Operational,2011
,Soyuz ST-B / Fregat-MT,Galileo IOV 2,ESA,Medium Earth,Navigation / Technology demonstration,In orbit,Operational,2011
,Soyuz ST-B / Fregat-MT,First Soyuz launch from Kourou.,First Soyuz launch from Kourou.,First Soyuz launch from Kourou.,First Soyuz launch from Kourou.,First Soyuz launch from Kourou.,First Soyuz launch from Kourou.,2011
,Delta II 7920-10,NPP,NASA / NOAA,Low Earth,Meteorology,In orbit,Operational,2011
,Delta II 7920-10,⚀ AubieSat 1,Auburn University,Low Earth,Technology demonstration,In orbit,Operational,2011
,Delta II 7920-10,⚀ DICE-1,Space Dynamics Laboratory,Low Earth,Magnetospheric research,In orbit,Operational,2011
,Delta II 7920-10,⚀ DICE-2,Space Dynamics Laboratory,Low Earth,Magnetospheric research,In orbit,Operational,2011
,Delta II 7920-10,⚀ E1P-U2,Montana State,Low Earth,Radiation,In orbit,Operational,2011
,Delta II 7920-10,⚀ M-Cubed,University of Michigan,Low Earth,Technology demonstration,In orbit,Operational,2011
,Delta II 7920-10,⚀ RAX-2,University of Michigan,Low Earth,Auroral,In orbit,Operational,2011
,Soyuz-U,Progress M-13M / 45P,Roscosmos,Low Earth (ISS),ISS logistics,25 January 2012,Successful,2011
,Soyuz-U,Chibis-M (RS-39),IKI,Low Earth,Ionospheric research,15 October 2014,Successful,2011
,Long March 2F,Shenzhou 8,CMSA,Low Earth (Tiangong-1),Technology demonstration,17 November 11:36,Successful,2011
,Long March 2F,Shenzhou-8-GC,CMSA,Low Earth (Tiangong-1),Technology demonstration,2 April 2012,Successful,2011
,Long March 2F,"Uncrewed flight, first Chinese orbital docking.","Uncrewed flight, first Chinese orbital docking.","Uncrewed flight, first Chinese orbital docking.","Uncrewed flight, first Chinese orbital docking.","Uncrewed flight, first Chinese orbital docking.","Uncrewed flight, first Chinese orbital docking.",2011
,Proton-M / Briz-M,Kosmos 2475 (Glonass-M 743),VKS,Medium Earth,Navigation,In orbit,Operational,2011
,Proton-M / Briz-M,Kosmos 2476 (Glonass-M 744),VKS,Medium Earth,Navigation,In orbit,Operational,2011
,Proton-M / Briz-M,Kosmos 2477 (Glonass-M 745),VKS,Medium Earth,Navigation,In orbit,Operational,2011
,Zenit-2M,Fobos-Grunt,Roscosmos,Intended: Areocentric Achieved: Low Earth,Phobos sample return,15 January 2012,Spacecraft failure,2011
,Zenit-2M,Yinghuo-1,CNSA,Intended: Areocentric Achieved: Low Earth,Mars orbiter,15 January 2012,Spacecraft failure,2011
,Zenit-2M,"First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place","First Russian attempt at an interplanetary mission since 1996.[69] First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place[70]","First Russian attempt at an interplanetary mission since 1996.[69] First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place[70]","First Russian attempt at an interplanetary mission since 1996.[69] First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place[70]","First Russian attempt at an interplanetary mission since 1996.[69] First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place[70]","First Russian attempt at an interplanetary mission since 1996. First Chinese Mars probe Spacecraft stranded in low Earth orbit, as telemetry was lost soon after launch and the two trans-Martian injection burns by the payload did not take place",2011
,Long March 4B,Yaogan 12,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2011
,Long March 4B,Tian Xun 1,Nanjing University of Aeronautics and Astronautics,Low Earth (SSO),Technology demonstration,7 February 2016[72],Successful,2011
,Soyuz-FG,Soyuz TMA-22,Roscosmos,Low Earth (ISS),Expedition 29/30,27 April 2012,Successful,2011
,Long March 2D,Shiyan 4,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2011
,Long March 2D,Chuang Xin 1C,CNSA,Low Earth (SSO),Technology demonstration,In orbit,Operational,2011
,Proton-M / Briz-M Enhanced,AsiaSat 7,AsiaSat,Geosynchronous,Communications,In orbit,Operational,2011
,Atlas V 541,Mars Science Laboratory (Curiosity),NASA,TMI to Martian Surface,Mars rover,6 August 2012 05:18,Successful,2011
,Soyuz-2.1b / Fregat,Kosmos 2478 (Glonass-M 746),VKS,Medium Earth,Navigation,In orbit,Operational,2011
,Long March 2C,Yaogan 13,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2011
,Long March 3A,Compass-IGSO5,CNSA,IGSO,Navigation,In orbit,Operational,2011
,Proton-M / Briz-M Enhanced,Luch 5A,Gonets Satellite System,Geosynchronous,Communications,In orbit,Operational,2011
,Proton-M / Briz-M Enhanced,Amos-5,SCL,Geosynchronous,Communications,In orbit,Operational,2011
,H-IIA,IGS Radar 3,CSICE,Low Earth (SSO),Reconnaissance (radar),In orbit,Operational,2011
,Soyuz ST-A / Fregat,Pléiades-HR 1A,CNES,Low Earth (SSO),Earth observation/Reconnaissance,In orbit,Operational,2011
,Soyuz ST-A / Fregat,FASat-Charlie (SSOT),MDN,Low Earth (SSO),Earth observation/Reconnaisance,In orbit,Operational,2011
,Soyuz ST-A / Fregat,ELISA 1,CNES / DGA,Low Earth (SSO),ELINT,In orbit,Operational,2011
,Soyuz ST-A / Fregat,ELISA 2,CNES / DGA,Low Earth (SSO),ELINT,In orbit,Operational,2011
,Soyuz ST-A / Fregat,ELISA 3,CNES / DGA,Low Earth (SSO),ELINT,In orbit,Operational,2011
,Soyuz ST-A / Fregat,ELISA 4,CNES / DGA,Low Earth (SSO),ELINT,In orbit,Operational,2011
,Long March 3B/E,NigComSat-1R,NIGCOMSAT / NASRDA,Geosynchronous,Communications,In orbit,Operational,2011
,Soyuz-FG,Soyuz TMA-03M,Roscosmos,Low Earth (ISS),Expedition 30/31,1 July 2012 08:14[78],Successful,2011
,Long March 4B,Ziyuan 1-02C,CNSA,Low Earth (SSO),Earth observation,In orbit,Operational,2011
,Soyuz-2.1b / Fregat,Meridian 5,VKO,Intended: Molniya,Communications,23 December,Launch failure,2011
,Soyuz-2.1b / Fregat,"Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit; first launch conducted by the Russian Aerospace Defence Forces","Third stage engine malfunctioned 421 seconds after launch, failed to reach orbit",2011
,Soyuz-2.1a / Fregat,Globalstar M080,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Soyuz-2.1a / Fregat,Globalstar M082,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Soyuz-2.1a / Fregat,Globalstar M084,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Soyuz-2.1a / Fregat,Globalstar M086,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Soyuz-2.1a / Fregat,Globalstar M090,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Soyuz-2.1a / Fregat,Globalstar M092,Globalstar,Low Earth,Communications,In orbit,Operational,2011
,Long March 4B,Ziyuan 3,MLR,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,Long March 4B,VesselSat-2,Luxspace,Low Earth (SSO),Communications,27 October 2016[15],Successful,2012
,Long March 3A,Fengyun 2-07,CMA,Geosynchronous,Meteorology,In orbit,Operational,2012
,"Delta IV-M+ (5,4)",USA-233 (WGS-4),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational,2012
,Soyuz-U,Progress M-14M / 46P,Roscosmos,Low Earth (ISS),ISS logistics,28 April 13:46,Successful,2012
,Safir-1B,Navid,ISA,Low Earth,Earth observation,1 April[20],Successful,2012
,Vega,LARES,ASI,Low Earth,Geodesy,In orbit,Operational,2012
,Vega,ALMASat-1,Università di Bologna,Low Earth,Technology demonstration,In orbit,Operational,2012
,Vega,⚀ Xatcobeo,Vigo/INTA,Low Earth,Technology demonstration,31 August 2014,Successful,2012
,Vega,⚀ UniCubeSat-GG,Rome,Low Earth,Atmospheric science,16 February 2015[25],Successful,2012
,Vega,⚀ Robusta,Montpellier,Low Earth,Technology demonstration,28 January 2015[26],Partial spacecraft failure,2012
,Vega,⚀ e-st@r,Torino,Low Earth,Technology demonstration,16 January 2015[27],Partial spacecraft failure,2012
,Vega,⚀ Goliat,Bucharest,Low Earth,Technology demonstration,31 December 2014,Partial spacecraft failure,2012
,Vega,⚀ PW-Sat,Warsaw,Low Earth,Technology demonstration,28 October 2014,Successful,2012
,Vega,⚀ MaSat-1,BME,Low Earth,Technology demonstration,9 January 2015[28],Successful,2012
,Proton-M / Briz-M Enhanced,SES-4,SES World Skies,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 3C,Compass-G5,CNSA,Geosynchronous,Navigation,In orbit,Operational,2012
,Atlas V 551,MUOS-1,U.S. Navy,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ES,Edoardo Amaldi ATV,ESA,Low Earth (ISS),ISS logistics,3 October 01:23,Successful,2012
,Proton-M / Briz-M Enhanced,Intelsat 22,Intelsat,Geosynchronous,Communications,In orbit,Operational,2012
,Proton-K / DM-2,Kosmos 2479 (US-KMO),VKO,Geosynchronous,Missile defense,In orbit,Operational,2012
,Proton-K / DM-2,"Final flight of Proton-K, final US-KMO satellite.","Final flight of Proton-K, final US-KMO satellite.","Final flight of Proton-K, final US-KMO satellite.","Final flight of Proton-K, final US-KMO satellite.","Final flight of Proton-K, final US-KMO satellite.","Final flight of Proton-K, final US-KMO satellite.",2012
,Long March 3B/E,Apstar-7,APT Satellite Holdings,Geosynchronous,Communication,In orbit,Operational,2012
,"Delta IV-M+(5,2)",USA-234 (FIA-R),NRO,Low Earth,Reconnaissance,In orbit,Operational,2012
,"Delta IV-M+(5,2)",NRO Launch 25,NRO Launch 25,NRO Launch 25,NRO Launch 25,NRO Launch 25,NRO Launch 25,2012
,Unha-3,Kwangmyŏngsŏng-3,KCST,Intended: Low Earth,Technology demonstration,12 April,Launch failure,2012
,Unha-3,"Probable first stage failure, disintegrated over the Yellow Sea.","Probable first stage failure, disintegrated over the Yellow Sea.[3]","Probable first stage failure, disintegrated over the Yellow Sea.[3]","Probable first stage failure, disintegrated over the Yellow Sea.[3]","Probable first stage failure, disintegrated over the Yellow Sea.[3]","Probable first stage failure, disintegrated over the Yellow Sea.",2012
,Soyuz-U,Progress M-15M / 47P,Roscosmos,Low Earth (ISS),ISS logistics,20 August 2012,Successful,2012
,Proton-M / Briz-M Enhanced,Yahsat 1B,Yahsat,Geosynchronous,Communications,In orbit,Operational,2012
,PSLV-XL,RISAT-1,ISRO,Low Earth (SSO),Earth observation[40],In orbit,Operational,2012
,Long March 3B,Compass-M3,CNSA,Medium Earth,Navigation,In orbit,Operational,2012
,Long March 3B,Compass-M4,CNSA,Medium Earth,Navigation,In orbit,Operational,2012
,Atlas V 531,USA-235 (AEHF-2),U.S. Air Force,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 2D,Tianhui 1B,CNSA,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,Long March 4B,Yaogan 14,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2012
,Long March 4B,Tiantuo 1,NUDT,Low Earth (SSO),Technology demonstration,3 November 2014,Successful,2012
,Soyuz-FG,Soyuz TMA-04M,Roscosmos,Low Earth (ISS),Expedition 31/32,17 September 02:53,Successful,2012
,Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,2012
,Ariane 5 ECA,JCSAT-13,SKY Perfect JSAT Group,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,Vinasat-2,VNPT,Geosynchronous,Communications,In orbit,Operational,2012
,Soyuz-U,Kosmos 2480 (Kobalt-M No.8),VKO,Low Earth,Reconnaissance,24 September,Successful,2012
,Soyuz-U,Final Soyuz-U launch from Plesetsk.,Final Soyuz-U launch from Plesetsk.,Final Soyuz-U launch from Plesetsk.,Final Soyuz-U launch from Plesetsk.,Final Soyuz-U launch from Plesetsk.,Final Soyuz-U launch from Plesetsk.,2012
,H-IIA,GCOM-W1,JAXA / NASA,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,H-IIA,Arirang-3,KARI,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,H-IIA,SDS-4,JAXA,Low Earth (SSO),Technology demonstration,In orbit,Successful,2012
,H-IIA,Horyu-2,KIT,Low Earth (SSO),Technology demonstration Amateur radio,In orbit,Successful,2012
,Proton-M / Briz-M,Nimiq 6,Telesat,Geosynchronous,Communications,In orbit,Operational,2012
,Falcon 9 v1.0,Dragon C2+,SpaceX / NASA,Low Earth (ISS),Flight test ISS logistics,31 May 16:42,Successful,2012
,Falcon 9 v1.0,New Frontier,Celestis,Low Earth,Space burial,27 June,Successful,2012
,Falcon 9 v1.0,"COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.","COTS Demo 2+,[53] orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS.[54] Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.[55]","COTS Demo 2+,[53] orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS.[54] Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.[55]","COTS Demo 2+,[53] orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS.[54] Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.[55]","COTS Demo 2+,[53] orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS.[54] Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.[55]","COTS Demo 2+, orbital test manoeuvres and ISS rendezvous, berthing and cargo delivery. First commercial spacecraft to visit the ISS. Celestis payload, containing cremated remains of 308 people including Gordon Cooper and James Doohan, remained intentionally attached to the upper stage.",2012
,Safir-1B,Fajr,ISA,Planned: Low Earth[2],Earth observation,23 May,Launch failure,2012
,Safir-1B,"Probable launch failure; identity of launch attempt, rocket, satellite and launch time not confirmed.","Probable launch failure;[2] identity of launch attempt, rocket, satellite and launch time not confirmed.","Probable launch failure;[2] identity of launch attempt, rocket, satellite and launch time not confirmed.","Probable launch failure;[2] identity of launch attempt, rocket, satellite and launch time not confirmed.","Probable launch failure;[2] identity of launch attempt, rocket, satellite and launch time not confirmed.",Probable launch failure,2012
,Long March 3B/E,Chinasat-2A,China Satcom,Geosynchronous,Communications,In orbit,Operational,2012
,Long March 4C,Yaogan 15,CNSA,Low Earth (SSO),Reconnaissance,In orbit,Operational,2012
,Zenit-3SL,Intelsat 19,Intelsat,Geosynchronous,Communications,In orbit,Partial spacecraft failure,2012
,Zenit-3SL,"Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.","Second solar panel initially failed to deploy after launch.[59] It eventually deployed, but was damaged.","Second solar panel initially failed to deploy after launch.[59] It eventually deployed, but was damaged.","Second solar panel initially failed to deploy after launch.[59] It eventually deployed, but was damaged.","Second solar panel initially failed to deploy after launch.[59] It eventually deployed, but was damaged.","Second solar panel initially failed to deploy after launch. It eventually deployed, but was damaged.",2012
,Pegasus-XL,NuSTAR,NASA,Low Earth,X-ray astronomy,In orbit,Operational,2012
,Long March 2F,Shenzhou 9,CMSA,Low Earth (Tiangong-1),Technology demonstration,29 June 02:01[64],Successful,2012
,Long March 2F,Shenzhou-9-GC (Orbital Module),CMSA,Low Earth (Tiangong-1),Space rendezvous,2 December,Successful,2012
,Long March 2F,"Crewed flight; first Chinese woman in space, and first crewed mission to Tiangong-1.","Crewed flight; first Chinese woman in space,[61][62] and first crewed mission to Tiangong-1.","Crewed flight; first Chinese woman in space,[61][62] and first crewed mission to Tiangong-1.","Crewed flight; first Chinese woman in space,[61][62] and first crewed mission to Tiangong-1.","Crewed flight; first Chinese woman in space,[61][62] and first crewed mission to Tiangong-1.",Crewed flight,2012
,Atlas V 401,USA-236 / SDS-3,NRO,Geosynchronous,Communications,In orbit,Operational,2012
,Atlas V 401,NROL-38 mission.,NROL-38 mission.,NROL-38 mission.,NROL-38 mission.,NROL-38 mission.,NROL-38 mission.,2012
,Delta IV Heavy,USA-237 / Orion 8,NRO,Geosynchronous,ELINT,In orbit,Operational,2012
,Delta IV Heavy,NROL-15 mission. First flight of Delta IV with RS-68A engines.,NROL-15 mission. First flight of Delta IV with RS-68A engines.,NROL-15 mission. First flight of Delta IV with RS-68A engines.,NROL-15 mission. First flight of Delta IV with RS-68A engines.,NROL-15 mission. First flight of Delta IV with RS-68A engines.,NROL-15 mission. First flight of Delta IV with RS-68A engines.,2012
,Ariane 5 ECA,Echostar XVII,Hughes Network Systems,Geosynchronous,Communications,In orbit,Operational,2012
,Ariane 5 ECA,MSG 3,EUMETSAT,Geosynchronous,Meteorology,In orbit,Operational,2012
,Proton-M / Briz-M Enhanced,SES-5,SES,Geosynchronous,Communications,In orbit,Operational,2012
,Soyuz-FG,Soyuz TMA-05M,Roscosmos,Low Earth (ISS),Expedition 32/33,19 November 01:56,Successful,2012
,Soyuz-FG,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,Crewed flight,2012
,H-IIB,Kounotori 3,JAXA,Low Earth (ISS),ISS logistics,14 September,Successful,2012
,H-IIB,⚀ Raiko,Wakayama/Tohuku,Low Earth,Technology demonstration,6 August 2013[75],Successful,2012
,H-IIB,⚀ FITSAT-1 (Niwaka),FIT,Low Earth,Technology demonstration,4 July 2013[76],Successful,2012
,H-IIB,⚀ We-Wish,Meisei Electric,Low Earth,Technology demonstration,11 March 2013[77],Successful,2012
,H-IIB,⚀ F-1,FPT,Low Earth,Technology demonstration,May 2013[78],"Successfully deployed, but no signal was received.",2012
,H-IIB,⚀ TechEdSat,San Jose,Low Earth,Technology demonstration,5 May 2013[80],Successful,2012
,H-IIB,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,All payloads CubeSats other than Kounotori 3. CubeSats carried aboard Kounotori and deployed from the ISS.,2012
,Soyuz-FG / Fregat,Kanopus V-1,Roscosmos,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,Soyuz-FG / Fregat,BelKA-2,NASRB,Low Earth (SSO),Earth observation,In orbit,Operational,2012
,Soyuz-FG / Fregat,Zond-PP,Roscosmos,Low Earth (SSO),Technology demonstration Earth observation,In orbit,Spacecraft failure,2012
,Soyuz-FG / Fregat,TET-1,DLR,Low Earth (SSO),Technology demonstration,18 November 2022[83],Successful,2012
,Soyuz-FG / Fregat,exactView 1,exactEarth,Low Earth (SSO),AIS ship tracking,In orbit,Operational,2012
,Soyuz-FG / Fregat,First Belarusian satellite.,First Belarusian satellite.,First Belarusian satellite.,First Belarusian satellite.,First Belarusian satellite.,First Belarusian satellite.,2012
,Long March 3C,Tianlian I-03,CNSA,Geosynchronous,Communications,In orbit,Operational,2012
,Rokot / Briz-KM,Gonets M-3,Gonets Satellite System,Low Earth,Communications,In orbit,Operational,2012
,Rokot / Briz-KM,Gonets M-4,Gonets Satellite System,Low Earth,Communications,In orbit,Operational,2012
,Rokot / Briz-KM,Kosmos 2481 (Strela-3M),VKO,Low Earth,Communications,In orbit,Operational,2012
,Rokot / Briz-KM,MiR (Yubileiny 2),NPO PM,Low Earth,Amateur radio Technology demonstration,In orbit,Operational,2012
,Soyuz-U,Progress M-16M / 48P,Roscosmos,Low Earth (ISS),ISS logistics,9 February 2013,Successful,2012
,Soyuz-U,Sfera-53,Roscosmos,Low Earth,Atmospheric density,24 November[88],Successful,2012
