DateTimeYear,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite,Success
23 October 15:38:19[37]-2007,Space Shuttle Discovery,STS-120,NASA,LEO (ISS),ISS assembly,7 November 18:01,Successful,,,1
23 October 15:38:19[37]-2007,Space Shuttle Discovery,Harmony (Node 2),Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,ISS component,In orbit,Operational,,,1
23 October 15:38:19[37]-2007,Space Shuttle Discovery,Crewed orbital flight with 7 astronauts,crew rotation,crew rotation,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,Crewed orbital flight with 7 astronauts,,,0
23 October 15:38:19[37]-2007,Space Shuttle Discovery,crew rotation,crew rotation,crew rotation,crew rotation,crew rotation,crew rotation,,,0
24 October 10:05[37]-2007,Long March 3A,Chang'e 1,CNSA,Selenocentric,Lunar orbiter,1 March 2009 08:13[39],Successful,,,1
24 October 10:05[37]-2007,Long March 3A,First Chinese lunar probe,First Chinese lunar probe,First Chinese lunar probe,First Chinese lunar probe,First Chinese lunar probe,First Chinese lunar probe,,,0
26 October 07:35:24[37]-2007,Proton-K/DM-2,Kosmos 2431 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
26 October 07:35:24[37]-2007,Proton-K/DM-2,Kosmos 2432 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
26 October 07:35:24[37]-2007,Proton-K/DM-2,Kosmos 2433 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
1 November 00:51:44[40]-2007,Kosmos-3M,SAR-Lupe 3,Bundeswehr,LEO (polar),Radar reconnaissance,In orbit,Operational,,,1
1 November 00:51:44[40]-2007,Kosmos-3M,Rubin-7,OHB System,LEO (polar),Technology,In orbit,Operational,,,1
11 November 01:50[40]-2007,Delta IV Heavy 9250H,USA-197 (DSP-23),DoD,GEO,Missile defence,In orbit,Spacecraft failure[41],,,0
11 November 01:50[40]-2007,Delta IV Heavy 9250H,Final DSP satellite Stopped transmitting in September 2008[41],Final DSP satellite Stopped transmitting in September 2008[41],Final DSP satellite Stopped transmitting in September 2008[41],Final DSP satellite Stopped transmitting in September 2008[41],Final DSP satellite Stopped transmitting in September 2008[41],Final DSP satellite Stopped transmitting in September 2008[41],,,0
11 November 22:48[40]-2007,Long March 4C (4B-II),Yaogan 3,CNSA,Sun-synchronous,Remote sensing,In orbit,Operational,,,1
11 November 22:48[40]-2007,Long March 4C (4B-II),First launch of Long March 4C after redesignation,First launch of Long March 4C after redesignation,First launch of Long March 4C after redesignation,First launch of Long March 4C after redesignation,First launch of Long March 4C after redesignation,First launch of Long March 4C after redesignation,,,0
14 November 22:06[40]-2007,Unknown,Skynet 5B,Paradigm/MoD,GEO,Communications,In orbit,Operational,,,1
14 November 22:06[40]-2007,Unknown,Star One C1,Star One,"Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]",,,0
14 November 22:06[40]-2007,Unknown,"Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]","Record mass to GTO – 9,535 kg (21,021 lb)[42]",,,0
17 November 22:39:47[40]-2007,Proton-M/Briz-M,Sirius 4,SES Sirius,GEO,Communications,In orbit,Operational,,,1
9 December 00:16[43]-2007,Proton-M/Briz-M,Globus-1M #11L (Raduga-1M 1),VKS,GEO,Communications,In orbit,Operational,,,1
9 December 02:31:42[43]-2007,Delta II 7420-10,COSMO-2,ASI[24],Sun-synchronous,Reconnaissance,In orbit,Operational,,,1
10 December 22:05[43]-2007,Atlas V 401,USA-198 (SDS-3-5),NRO,Molniya,Communications,In orbit,Operational,,,1
10 December 22:05[43]-2007,Atlas V 401,NRO Launch 24,NRO Launch 24,NRO Launch 24,NRO Launch 24,NRO Launch 24,NRO Launch 24,,,0
14 December 13:17:34[43]-2007,Soyuz-FG/Fregat,RADARSAT 2,MDA Corporation,Sun-synchronous,Radar imaging,In orbit,Operational,,,1
20 December 20:04:00[43]-2007,Delta II 7925-9.5,USA-199 (GPS 2R-18/M5),US Air Force,MEO,Navigation,In orbit,Operational,,,1
21 December 21:41:55[43]-2007,Unknown,Horizons-2,Intelsat/JSAT Corporation,GEO,Communications,In orbit,Operational,,,1
21 December 21:41:55[43]-2007,Unknown,Rascom-QAF 1,RascomSTAR-QAF,"Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.",Partial spacecraft failure Operational,,,1
21 December 21:41:55[43]-2007,Unknown,"Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.","Helium leak affected early operations of Rascom-QAF 1,[44] reducing operational lifetime by 13 years.",,,0
23 December 07:12:41[45]-2007,Soyuz-U,Progress M-62,Roskosmos,LEO (ISS),Logistics,15 February 2008 10:29,Successful,,,1
23 December 07:12:41[45]-2007,Soyuz-U,ISS flight 27P,ISS flight 27P,ISS flight 27P,ISS flight 27P,ISS flight 27P,ISS flight 27P,,,0
25 December 19:32[45]-2007,Proton-M/DM-2,Kosmos 2434 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
25 December 19:32[45]-2007,Proton-M/DM-2,Kosmos 2435 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
25 December 19:32[45]-2007,Proton-M/DM-2,Kosmos 2436 (GLONASS-M),VKS,MEO,Navigation,In orbit,Operational,,,1
15 January 11:49[2]-2008,Zenit-3SL,Thuraya 3,Thuraya,GEO,Communications,In orbit,Operational,,,1
21 January 03:45[2]-2008,PSLV-CA,TecSAR (Polaris),IAI,LEO,Reconnaissance,In orbit,Operational,,,1
28 January 00:18[2]-2008,Proton-M / Briz-M,Ekspress AM-33,RSCC,GEO,Communications,In orbit,Operational,,,1
5 February 13:02:54[2]-2008,Soyuz-U,Progress M-63,Roscosmos,LEO (ISS),ISS logistics,7 April 11:50[20],Successful,,,1
5 February 13:02:54[2]-2008,Soyuz-U,ISS flight 28P,ISS flight 28P,ISS flight 28P,ISS flight 28P,ISS flight 28P,ISS flight 28P,,,0
7 February 19:45:30[2]-2008,Space Shuttle Atlantis,STS-122,NASA,LEO (ISS),ISS assembly,20 February 14:07:10[21],Successful,,,1
7 February 19:45:30[2]-2008,Space Shuttle Atlantis,Columbus,ESA,Crewed flight with seven astronauts,Crewed flight with seven astronauts,In orbit,Operational,,,1
7 February 19:45:30[2]-2008,Space Shuttle Atlantis,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,,,0
11 February 11:34[2]-2008,Proton-M / Briz-M,Thor-5,Telenor,GEO,Communications,In orbit,Operational,,,1
23 February 08:55[2]-2008,H-IIA 2024,WINDS (Kizuna),JAXA / NICT,GEO,Communications Technology,In orbit,Successful[22],,,1
9 March 04:03:07[2]-2008,Unknown,Jules Verne ATV,ESA,LEO (ISS),ISS logistics,29 September 13:31,Successful,,,1
11 March 06:28:14[2]-2008,Space Shuttle Endeavour,STS-123,NASA,LEO (ISS),ISS assembly,27 March 00:39:08[24],Successful,Final flight,,1
11 March 06:28:14[2]-2008,Space Shuttle Endeavour,Spacelab MD002[23],JAXA,LEO (STS/ISS),ISS logistics,In orbit,Operational,Final flight,,1
11 March 06:28:14[2]-2008,Space Shuttle Endeavour,JEM ELM-PF,MDA Corporation,Crewed flight with seven astronauts Final flight of Spacelab programme,Crewed flight with seven astronauts Final flight of Spacelab programme,Crewed flight with seven astronauts Final flight of Spacelab programme,Crewed flight with seven astronauts Final flight of Spacelab programme,Final flight,,0
11 March 06:28:14[2]-2008,Space Shuttle Endeavour,Dextre (SPDM),Crewed flight with seven astronauts Final flight of Spacelab programme,pallet used to transport Dextre[23],pallet used to transport Dextre[23],pallet used to transport Dextre[23],pallet used to transport Dextre[23],Final flight,,0
11 March 06:28:14[2]-2008,Space Shuttle Endeavour,Crewed flight with seven astronauts,pallet used to transport Dextre[23],pallet used to transport Dextre[23],pallet used to transport Dextre[23],pallet used to transport Dextre[23],pallet used to transport Dextre[23],Final flight,,0
13 March 10:02[2]-2008,Atlas V 411,USA-200 (Improved Trumpet)[25],NRO,Molniya[25],ELINT[25],In orbit,Operational,,,1
13 March 10:02[2]-2008,Atlas V 411,NRO Launch 28,NRO Launch 28,NRO Launch 28,NRO Launch 28,NRO Launch 28,NRO Launch 28,,,0
13 March 10:02[2]-2008,Atlas V 411,first Atlas V launch from Vandenberg,first Atlas V launch from Vandenberg,first Atlas V launch from Vandenberg,first Atlas V launch from Vandenberg,first Atlas V launch from Vandenberg,first Atlas V launch from Vandenberg,,,0
14 March 23:18:55[2][29]-2008,Proton-M / Briz-M,AMC-14,SES Americom,GEO,Communications,In orbit,Operational Partial launch failure[3],,,1
14 March 23:18:55[2][29]-2008,Proton-M / Briz-M,Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],Upper stage malfunction during second burn left spacecraft in wrong orbit[10][26] Initial recovery attempted but abandoned due to legal issues.[11][27] Later sold and recovery efforts restarted.[28],,,0
15 March 06:10[30]-2008,Delta II 7925-9.5,USA-201 (GPS IIR-19/M6)[31],US Air Force,MEO,Navigation,In orbit,Operational,,,1
15 March 06:10[30]-2008,Delta II 7925-9.5,80th consecutive successful Delta II launch.[30],80th consecutive successful Delta II launch.[30],80th consecutive successful Delta II launch.[30],80th consecutive successful Delta II launch.[30],80th consecutive successful Delta II launch.[30],80th consecutive successful Delta II launch.[30],,,0
19 March 22:47:59[32]-2008,Zenit-3SL,DirecTV-11,DirecTV,GEO,Communications,In orbit,Operational,,,1
27 March 17:15[33]-2008,Kosmos-3M,SAR-Lupe 4,Bundeswehr,LEO (SSO),Reconnaissance,In orbit,Operational,,,1
8 April 11:16:39[20][35]-2008,Soyuz-FG,Soyuz TMA-12,Roscosmos,LEO (ISS),ISS Expedition 17[35],24 October 03:37[36],Successful,,,1
8 April 11:16:39[20][35]-2008,Soyuz-FG,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,Crewed flight with three cosmonauts,,,0
8 April 11:16:39[20][35]-2008,Soyuz-FG,including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],including first South Korean in space[20] and first second-generation cosmonaut[34] Docked on 10 April at 12:57 GMT[35],,,0
14 April 20:12:00[37]-2008,Atlas V 421,ICO G1,ICO,GEO,Communications,In orbit,Operational,,,1
14 April 20:12:00[37]-2008,Atlas V 421,Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],Heaviest single commercial satellite to be placed in GSO. Heaviest satellite to be launched by an Atlas rocket.[37],,,0
16 April 17:01[38]-2008,Pegasus-XL,C/NOFS,STP/NASA,LEO,Electrodynamics,28 November 2015,Successful,,,1
18 April 22:17[39]-2008,Unknown,Vinasat-1,VNPT,GEO,Communications,In orbit,Operational,,,1
18 April 22:17[39]-2008,Unknown,Star One C2,Star One,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,,,0
18 April 22:17[39]-2008,Unknown,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,First Vietnamese satellite,,,0
25 April 15:35[40]-2008,Long March 3C,Tianlian I-01,CNSA,GEO,Communications,In orbit,Operational,,,1
26 April 22:16:02[41]-2008,Soyuz-FG / Fregat,GIOVE-B,ESA,MEO,Navigation Technology demonstration,In orbit,Operational,,,1
28 April 03:53:51[43][44]-2008,PSLV-C,Cartosat-2A[45],ISRO,LEO,Earth observation,In orbit,Operational,,,1
28 April 03:53:51[43][44]-2008,PSLV-C,TWSAT (IMS-1)[45],OHB System,All payloads except CartoSat,Technology demonstration,13 November 2023[53],Successful,,,1
28 April 03:53:51[43][44]-2008,PSLV-C,RUBIN-8[46],Aalborg,TWSAT and RUBIN were CubeSats,Radiation[47],All payloads except CartoSat,All payloads except CartoSat,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ AAUSAT-II[47],UTIAS,launched under designation NSL-4,Technology demonstration[48],TWSAT and RUBIN were CubeSats,TWSAT and RUBIN were CubeSats,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ CanX-2[48],UTIAS/COM DEV,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,Earth observation Technology demonstration,launched under designation NSL-4,launched under designation NSL-4,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ CanX-6[49],Aachen,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,All payloads except CartoSat,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ COMPASS-1[50],Tokodai,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,TWSAT and RUBIN were CubeSats,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ Cute-1.7+APD II[51],Delft,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,launched under designation NSL-4,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ Delfi-C3[52],Nihon,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,⚀ SEEDS-2[54],All payloads except CartoSat,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,All payloads except CartoSat,TWSAT and RUBIN were CubeSats,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,TWSAT and RUBIN were CubeSats,launched under designation NSL-4,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,launched under designation NSL-4,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 03:53:51[43][44]-2008,PSLV-C,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,except CanX-6 which was NSL-5.[42] RUBIN-8 intentionally remained attached to upper stage,,,0
28 April 05:00[56]-2008,Zenit-3SLB,AMOS-3 (AMOS-60),SCL,GEO,Communications,In orbit,Operational,,,1
14 May 20:22:54[57][58]-2008,Soyuz-U,Progress M-64,Roscosmos,LEO (ISS),ISS logistics,8 September[59],Successful,,,1
14 May 20:22:54[57][58]-2008,Soyuz-U,ISS flight 29P,ISS flight 29P,ISS flight 29P,ISS flight 29P,ISS flight 29P,ISS flight 29P,,,0
21 May 09:43[60]-2008,Zenit-3SL,Galaxy 18,Intelsat,GEO,Communications,In orbit,Operational,,,1
23 May 15:20:09[61]-2008,Rokot / Briz-KM,Kosmos 2437 (Rodnik)[62],VKS,LEO,Communications,In orbit,Operational,,,1
23 May 15:20:09[61]-2008,Rokot / Briz-KM,Kosmos 2438 (Rodnik)[62],NPO PM[63],LEO,Technology demonstration,In orbit,Operational,,,1
23 May 15:20:09[61]-2008,Rokot / Briz-KM,Kosmos 2439 (Rodnik)[62],NPO PM[63],LEO,Technology demonstration,In orbit,Operational,,,1
23 May 15:20:09[61]-2008,Rokot / Briz-KM,Yubeleiny,NPO PM[63],LEO,Technology demonstration,In orbit,Operational,,,1
27 May 03:02[64]-2008,Long March 4C,Fengyun 3A,CMA,Sun-synchronous,Weather[65],In orbit,Operational,,,1
31 May 21:02:12[66][67]-2008,Space Shuttle Discovery,STS-124,NASA,LEO (ISS),ISS assembly,14 June 15:15[68],Successful,,,1
31 May 21:02:12[66][67]-2008,Space Shuttle Discovery,JEM-PM,JAXA,Crewed flight with seven astronauts,Crewed flight with seven astronauts,In orbit,Operational,,,1
31 May 21:02:12[66][67]-2008,Space Shuttle Discovery,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,Crewed flight with seven astronauts,,,0
9 June 12:15[69]-2008,Long March 3B[70],Chinasat 9[71],CNPT,GEO,Communications,In orbit,Operational,,,1
11 June 16:05[72]-2008,Delta II 7920H-10C,FGST[73] (GLAST)[74],NASA,LEO,Gamma-ray astronomy,In orbit,Operational,,,1
12 June 22:05:02[75]-2008,Unknown,Skynet 5C,MoD,GEO,Communications,In orbit,Operational,,,1
12 June 22:05:02[75]-2008,Unknown,Turksat 3A,Türksat,GEO,Communications,In orbit,Operational,,,1
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm CDS-3,Orbcomm,LEO,Communications,In orbit,Spacecraft failure,,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm QL-1,Spacecraft affected by communications problems,Spacecraft affected by communications problems,Spacecraft affected by communications problems,Spacecraft affected by communications problems,Operational[79],,,1
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm QL-2,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],Spacecraft affected by communications problems,,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm QL-3,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm QL-4,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,Orbcomm QL-5,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,Spacecraft affected by communications problems,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],,,0
19 June 06:36 [77][78]-2008,Kosmos-3M,four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],four had failed by December 2009.[76],,,0
20 June 07:46:25[77]-2008,Delta II 7320,Jason-2 (OSTM),NASA,LEO,Oceanography,In orbit,Operational,,,1
26 June 23:59[80]-2008,Proton-K / DM-2[81] (?? DM-3[28]),Kosmos 2440 (Prognoz)[28],VKS,GEO,Missile defence[28],In orbit,Operational,,,1
7 July 21:47[82]-2008,Unknown,Badr-6,Arabsat,GEO,Communications,In orbit,Operational,,,1
7 July 21:47[82]-2008,Unknown,ProtoStar-1[83],ProtoStar,GEO,Communications,In orbit,Operational,,,1
16 July 05:20:59 [84][85]-2008,Zenit-3SL,Echostar 11,Echostar,GEO,Communications,In orbit,Operational,,,1
22 July 02:40:09 [86][87]-2008,Kosmos-3M,SAR-Lupe 5,Bundeswehr,LEO (SSO),Reconnaissance,In orbit,Operational,,,1
26 July 18:31[88]-2008,Soyuz-2.1b,Kosmos 2441 (Persona)[88],VKS,LEO (SSO),Reconnaissance,In orbit,Spacecraft failure,,,0
26 July 18:31[88]-2008,Soyuz-2.1b,Spacecraft lost due to electrical malfunction[citation needed],Spacecraft lost due to electrical malfunction[citation needed],Spacecraft lost due to electrical malfunction[citation needed],Spacecraft lost due to electrical malfunction[citation needed],Spacecraft lost due to electrical malfunction[citation needed],Spacecraft lost due to electrical malfunction[citation needed],,,0
3 August 03:34[89][94]-2008,Falcon 1,Trailblazer,ORS / MDA,Intended: LEO,Technology demonstration,~T+140 seconds[95],Launch failure[95],,,0
3 August 03:34[89][94]-2008,Falcon 1,⚀ PreSat[96],Santa Clara / NASA[96][97],First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,Biological,First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,,,0
3 August 03:34[89][94]-2008,Falcon 1,⚀ NanoSail-D[96],Santa Clara / NASA[96][98],"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",Solar sail,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",,,0
3 August 03:34[89][94]-2008,Falcon 1,Explorers[99],Celestis,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",Space burial,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",,,0
3 August 03:34[89][94]-2008,Falcon 1,First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",First and second stage recontact due to residual thrust.[89] PreSAT and NanoSail-D CubeSats,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",,,0
3 August 03:34[89][94]-2008,Falcon 1,"Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]","Celestis burial payload included remains of astronaut Gordon Cooper,[90] actor James Doohan,[91] writer and director John Meredyth Lucas,[92] and Apollo mission planner Mareta West[93]",,,0
14 August 20:44[77]-2008,Unknown,Superbird 7,SCC,GEO,Communications,In orbit,Operational,,,1
14 August 20:44[77]-2008,Unknown,AMC-21,SES Americom,GEO,Communications,In orbit,Operational,,,1
16 August 19:32[100]-2008,Safir[101],DemoSat[102],ISA,Intended: LEO[100],Test flight,16 August,Launch failure[100],,,0
16 August 19:32[100]-2008,Safir[101],Reported to have been first Iranian orbital launch attempt. Officially successful,Reported to have been first Iranian orbital launch attempt. Officially successful,Reported to have been first Iranian orbital launch attempt. Officially successful,Reported to have been first Iranian orbital launch attempt. Officially successful,Reported to have been first Iranian orbital launch attempt. Officially successful,Reported to have been first Iranian orbital launch attempt. Officially successful,,,0
