DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year,FlightNumberInfo,LaunchSite
1 December 04:42[152],Long March 2D,Yaogan-4,CNSA,LEO (SSO),Earth observation,In orbit,Operational,2008,,
2 December 05:00[153],Molniya-M/2BL[154],Kosmos 2446 (Oko),VKS,Molniya,Missile defence,In orbit,Operational,2008,,
10 December 13:43:00[155],Proton-M / Briz-M Enhanced,Ciel-2[77],Ciel[156],GEO,Communications,In orbit,Operational,2008,,
15 December 03:22[157],Long March 4B,Yaogan-5,CNSA,LEO (SSO),Earth observation,2 September 2014,Successful,2008,,
20 December 22:35[158],Unknown,Hot Bird 9[77],Eutelsat,GEO,Communications,In orbit,Operational,2008,,
20 December 22:35[158],Unknown,Eutelsat W2M[77],Eutelsat,GEO,Communications,In orbit,Spacecraft failure[159],2008,,
23 December 00:54[160],Long March 3A,Fengyun 2E,CMA,GEO,Meteorology,In orbit,Operational,2008,,
25 December 10:43[161],Proton-M / DM-2 Enhanced,Kosmos 2447 (GLONASS),VKS,MEO,Navigation,In orbit,Operational,2008,,
25 December 10:43[161],Proton-M / DM-2 Enhanced,Kosmos 2448 (GLONASS),VKS,MEO,Navigation,In orbit,Operational,2008,,
25 December 10:43[161],Proton-M / DM-2 Enhanced,Kosmos 2449 (GLONASS),VKS,MEO,Navigation,In orbit,Operational,2008,,
25 December 10:43[161],Proton-M / DM-2 Enhanced,,"First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military",,"First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military","First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military","First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military",2008,First flight,"First flight of Proton-M Enhanced with DM-2 upper stage, last orbital launch from Baikonur to be conducted by the Russian military"
18 January 02:47[13],Delta IV Heavy[14],USA-202 / Orion 6[15],NRO,GEO,ELINT,In orbit,Operational,2009,,
18 January 02:47[13],Delta IV Heavy[14],NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,NROL-26 mission.,2009,,
23 January 03:54[17],H-IIA 202,Ibuki (GOSAT),JAXA,LEO (SSO),Climatology,In orbit,Operational,2009,,
23 January 03:54[17],H-IIA 202,SDS-1,JAXA,LEO (SSO),Technology demonstration,In orbit,Successful[18],2009,,
23 January 03:54[17],H-IIA 202,Sohla-1 (Maido-1),SOHLA[19],LEO (SSO),Technology demonstration,In orbit,Successful[20],2009,,
23 January 03:54[17],H-IIA 202,Raijin (Sprite-Sat)[21],Tohoku University,LEO (SSO),Sprite research,In orbit,Spacecraft failure[16],2009,,
23 January 03:54[17],H-IIA 202,Kagayaki[22],Sorun[23],LEO (SSO),Technology demonstration,In orbit,Spacecraft failure[16],2009,,
23 January 03:54[17],H-IIA 202,Hitomi (PRISM)[24],University of Tokyo,LEO (SSO),Technology demonstration,In orbit,Operational,2009,,
23 January 03:54[17],H-IIA 202,Kukai (STARS)[25][26],Kagawa University,LEO (SSO),Technology demonstration,In orbit,Spacecraft failure[16],2009,,
23 January 03:54[17],H-IIA 202,Kiseki (KKS-1)[27],TMCIT,LEO (SSO),Technology demonstration,In orbit,Spacecraft failure[16],2009,,
23 January 03:54[17],H-IIA 202,"Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]","Raijin failed to respond to commands from ground following electromagnetic boom deployment, Kagayaki failed to contact ground, STARS tether deployment failed, Kiseki failed to respond to commands from ground.[16]",2009,,
30 January 13:30[3],Tsyklon-3,Koronas-Foton,Roscosmos / MEPhI / NIIEM[29],LEO[29],Heliophysics,In orbit,Spacecraft failure,2009,,
30 January 13:30[3],Tsyklon-3,,"Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]","Final flight of Tsyklon-3 rocket,[3] satellite problems during mid-2009, loss of signal in early December due to power system malfunction. Declared a total loss in April 2010.[28]",2009,Final flight,
2 February 18:36[30],Safir,Omid[31],ISA,LEO,Technology demonstration,25 April,Successful,2009,,
2 February 18:36[30],Safir,First successful Iranian orbital launch[2],First successful Iranian orbital launch[2],First successful Iranian orbital launch[2],First successful Iranian orbital launch[2],First successful Iranian orbital launch[2],First successful Iranian orbital launch[2],2009,,
6 February 10:22:01[32],Delta II 7320-10C,NOAA-19 (NOAA-N'),NOAA / NASA,LEO (SSO),Meteorology,In orbit,Operational,2009,,
10 February 05:49:46[33],Soyuz-U,Progress M-66,Roscosmos,LEO (ISS),ISS logistics,18 May 15:14:45,Successful,2009,,
10 February 05:49:46[33],Soyuz-U,ISS flight 32P,ISS flight 32P,ISS flight 32P,ISS flight 32P,ISS flight 32P,ISS flight 32P,2009,,
11 February 00:03[34],Proton-M / Briz-M Enhanced,Ekspress-AM44[35],RSCC,GEO,Communication,In orbit,Operational,2009,,
11 February 00:03[34],Proton-M / Briz-M Enhanced,Ekspress-MD1,RSCC,GEO,Communications,In orbit,Operational,2009,,
12 February 22:09:00[36],Ariane 5 ECA,Hot Bird 10,Eutelsat,GEO,Communications,In orbit,Operational,2009,,
12 February 22:09:00[36],Ariane 5 ECA,NSS-9,SES New Skies,GEO,Communications,In orbit,Operational,2009,,
12 February 22:09:00[36],Ariane 5 ECA,Spirale-A,CNES,Highly elliptical,Technology demonstration,In orbit,Operational,2009,,
12 February 22:09:00[36],Ariane 5 ECA,Spirale-B,CNES,Highly elliptical,Technology demonstration,In orbit,Operational,2009,,
24 February 09:55:30[38],Taurus-XL 3110,OCO,NASA,Intended: LEO (SSO),Climatology,24 February,Launch failure,2009,,
24 February 09:55:30[38],Taurus-XL 3110,,"Maiden flight of Taurus-XL 3110, payload fairing failed to separate, failed to reach orbit.[37] Satellite was to have been part of A-train constellation","Maiden flight of Taurus-XL 3110, payload fairing failed to separate, failed to reach orbit.[37] Satellite was to have been part of A-train constellation","Maiden flight of Taurus-XL 3110, payload fairing failed to separate, failed to reach orbit.[37] Satellite was to have been part of A-train constellation","Maiden flight of Taurus-XL 3110, payload fairing failed to separate, failed to reach orbit.[37] Satellite was to have been part of A-train constellation","Maiden flight of Taurus-XL 3110, payload fairing failed to separate, failed to reach orbit.[37] Satellite was to have been part of A-train constellation",2009,First flight,
26 February 18:29:55[39],Zenit-3SLB,Telstar 11N,Telesat,GEO,Communications,In orbit,Operational,2009,,
28 February 04:10,Proton-K / DM-2,Raduga-1,VKS,GEO,Communications,In orbit,Operational,2009,,
7 March 03:49:57[41],Delta II 7925-10L,Kepler,NASA,Heliocentric,Exoplanetary science,In orbit,Operational,2009,,
7 March 03:49:57[41],Delta II 7925-10L,"Exosolar planet research, operating in an Earth-trailing orbit[40]","Exosolar planet research, operating in an Earth-trailing orbit[40]","Exosolar planet research, operating in an Earth-trailing orbit[40]","Exosolar planet research, operating in an Earth-trailing orbit[40]","Exosolar planet research, operating in an Earth-trailing orbit[40]","Exosolar planet research, operating in an Earth-trailing orbit[40]",2009,,
15 March 23:43:44[42],Space Shuttle Discovery[43],STS-119[44],NASA,LEO (ISS),ISS assembly[45][46],28 March 19:13[47],Successful,2009,,
15 March 23:43:44[42],Space Shuttle Discovery[43],ITS S6 Truss,NASA,LEO (ISS),ISS assembly,In orbit,Operational,2009,,
15 March 23:43:44[42],Space Shuttle Discovery[43],Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,2009,,
17 March 14:21[48],Rokot / Briz-KM,GOCE,ESA,LEO,Gravitational research,11 November 2013 00:16,Successful,2009,,
24 March 08:34:00[50],Delta II 7925-9.5,USA-203 (GPS IIR-20/M7),U.S. Air Force,MEO,Navigation,In orbit,Partial spacecraft failure Operational,2009,,
26 March 11:49:06,Soyuz-FG,Soyuz TMA-14[14],Roscosmos,LEO (ISS),Expedition 19,11 October 04:32,Successful,2009,,
26 March 11:49:06,Soyuz-FG,Crewed flight with three cosmonauts. First space tourist to make two flights.,Crewed flight with three cosmonauts. First space tourist to make two flights.,Crewed flight with three cosmonauts. First space tourist to make two flights.,Crewed flight with three cosmonauts. First space tourist to make two flights.,Crewed flight with three cosmonauts. First space tourist to make two flights.,Crewed flight with three cosmonauts. First space tourist to make two flights.,2009,,
3 April 16:24,Proton-M / Briz-M Enhanced,Eutelsat W2A,Eutelsat,GEO,Communications,In orbit,Operational,2009,,
4 April 00:31[51],Atlas V 421,USA-204 (WGS-2),U.S. Air Force,GEO,Communications,In orbit,Operational,2009,,
5 April 02:30:15[53],Unha-2,Kwangmyŏngsŏng-2,KCST,Intended: LEO,Technology demonstration,5 April,Launch failure,2009,,
5 April 02:30:15[53],Unha-2,"North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.","North Korea claimed the launch was successful;[52] however, no objects were tracked in orbit.",2009,,
14 April 16:16,Long March 3C,Compass-G2,CNSA,GEO,Navigation,In orbit,Spacecraft failure,2009,,
14 April 16:16,Long March 3C,Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],Failed in orbit shortly after launch. Towed to a high graveyard orbit by Shijian-21 on 22 January 2022.[54],2009,,
20 April 01:15,PSLV-CA,RISAT-2,ISRO,LEO,Radar imaging,30 October 2022 00:06[55],Successful,2009,,
20 April 01:15,PSLV-CA,ANUSAT,Anna University,LEO,Technology demonstration,18 April 2012,Successful,2009,,
20 April 08:16,Zenit-3SL,Sicral-1B,ASI,GEO,Communications,In orbit,Operational,2009,,
22 April 02:55,Long March 2C,Yaogan-6,CNSA,LEO (SSO),Earth observation,In orbit,Operational,2009,,
29 April 16:58,Soyuz-U,Kosmos 2450 (Kobal't-M),VKS,LEO,Optical reconnaissance,27 July,Successful,2009,,
5 May 20:24:25[14][51],Delta II 7920-10C,USA-205 (STSS-ATRR),U.S. Air Force / MDA,LEO (SSO),Missile defence Technology demonstration,In orbit,Operational,2009,,
7 May 18:37,Soyuz-U,Progress M-02M,Roscosmos,LEO (ISS),ISS logistics,13 July 16:28:47,Successful,2009,,
7 May 18:37,Soyuz-U,ISS flight 33P,ISS flight 33P,ISS flight 33P,ISS flight 33P,ISS flight 33P,ISS flight 33P,2009,,
11 May 18:01,Space Shuttle Atlantis[43],STS-125[56],NASA[57],LEO (HST),HST servicing flight[58][59],24 May 15:39,Successful,2009,,
11 May 18:01,Space Shuttle Atlantis[43],"Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.","Crewed flight with seven astronauts, final Space Shuttle mission to the Hubble Space Telescope.",2009,,
14 May[60] 13:12,Ariane 5 ECA,Herschel[61],ESA,Sun–Earth L2,Infrared astronomy,In orbit,Operational,2009,,
14 May[60] 13:12,Ariane 5 ECA,Planck[62],ESA,Sun–Earth L2,Space telescope,In orbit,Operational,2009,,
16 May 00:57,Proton-M / Briz-M Enhanced,ProtoStar II,ProtoStar,GEO,Communications,In orbit,Operational,2009,,
19 May 23:55,Minotaur I,TacSat-3,USAF-RL,LEO,Technology demonstration,30 April 2012,Successful,2009,,
19 May 23:55,Minotaur I,PharmaSat,NASA,LEO,Biological,14 August 2012,Successful,2009,,
19 May 23:55,Minotaur I,⚀ AeroCube 3,Aerospace Corporation,LEO,Technology demonstration,6 January 2011,Successful,2009,,
19 May 23:55,Minotaur I,⚀ HawkSat I[63],HISS,LEO,Technology demonstration[63][64],4 September 2011,Successful,2009,,
19 May 23:55,Minotaur I,⚀ CP6[63],CalPoly,LEO,Technology demonstration,6 October 2011,Successful,2009,,
19 May 23:55,Minotaur I,All payloads except TacSat-3 and Pharmasat are CubeSats.,All payloads except TacSat-3 and Pharmasat are CubeSats.,All payloads except TacSat-3 and Pharmasat are CubeSats.,All payloads except TacSat-3 and Pharmasat are CubeSats.,All payloads except TacSat-3 and Pharmasat are CubeSats.,All payloads except TacSat-3 and Pharmasat are CubeSats.,2009,,
21 May 21:53,Soyuz-2.1a / Fregat,Meridian 2[66],VKS,Intended: Molniya Achieved: MEO,Communications,23 April 2021 04:48[69],Launch failure[68],2009,,
21 May 21:53,Soyuz-2.1a / Fregat,"Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]","Core vehicle second stage shut down five seconds early,[65] attempt to compensate using Fregat resulted in propellent depletion during second of three burns[66] Satellite reached a lower orbit than expected, and despite being expected to be recoverable to fully operational status[67] was unable to recover.[68]",2009,,
27 May 10:34:42,Soyuz-FG,Soyuz TMA-15,Roscosmos,LEO (ISS),Expedition 20,1 December 07:17,Successful,2009,,
27 May 10:34:42,Soyuz-FG,"Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.","Crewed flight with three cosmonauts, established first permanent six-man crew on the ISS.",2009,,
18 June[70] 21:32,Atlas V 401,LRO,NASA,Selenocentric,Lunar orbiter,In orbit,Operational,2009,,
18 June[70] 21:32,Atlas V 401,LCROSS,NASA,High Earth (TLI),Lunar impactor,9 October 11:37,Successful,2009,,
18 June[70] 21:32,Atlas V 401,LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],LCROSS observed the upper stage impacting the Cabeus crater on the Moon at 11:31 on 9 October shortly before its own impact into the same crater. The LCROSS spacecraft confirmed the presence of water at the Lunar South Pole.[5],2009,,
21 June 21:50,Zenit-3SLB,MEASAT-3a,MEASAT,GEO,Communications,In orbit,Operational,2009,,
27 June 22:51[71],"Delta IV-M+ (4,2)",GOES-O (GOES-14),NOAA / NASA,GEO,Meteorology,In orbit,Operational,2009,,
30 June 19:10,Proton-M / Briz-M Enhanced,Sirius FM-5 (RadioSat-5),Sirius XM,GEO,Communications,In orbit,Operational,2009,,
1 July 17:52[72],Ariane 5 ECA,TerreStar-1,TerreStar,GEO,Communications,In orbit,Operational,2009,,
6 July 01:26,Rokot / Briz-KM,Kosmos 2451 (Rodnik),VKS,LEO,Communications,In orbit,Operational,2009,,
6 July 01:26,Rokot / Briz-KM,Kosmos 2452 (Rodnik),VKS,LEO,Communications,In orbit,Operational,2009,,
6 July 01:26,Rokot / Briz-KM,Kosmos 2453 (Rodnik),VKS,LEO,Communications,In orbit,Operational,2009,,
14 July 03:35[73],Falcon 1,RazakSat-1 (MACSat),ATSB,LEO,Earth observation,In orbit,Spacecraft failure,2009,,
14 July 03:35[73],Falcon 1,,Final flight of Falcon 1.[4],Final flight of Falcon 1.[4],Final flight of Falcon 1.[4],Final flight of Falcon 1.[4],Final flight of Falcon 1.[4],2009,Final flight,
15 July[71] 22:03,Space Shuttle Endeavour[44],STS-127,NASA,LEO (ISS),ISS assembly,31 July 14:48,Successful,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],JEM-EF,JAXA,LEO (ISS),ISS assembly,In orbit,Operational,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],AggieSat 2,NASA,LEO,Technology demonstration,17 March 2010 18:26[74],Partial spacecraft failure Successful,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],BEVO-1,NASA,LEO,Technology demonstration,17 March 2010 18:26[74],Partial spacecraft failure Successful,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],Castor[75],NRL,LEO,Atmospheric science,18 August 2010 17:48[76],Successful,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],Pollux[75],NRL,LEO,Atmospheric science,29 March 2010,Successful,2009,,
15 July[71] 22:03,Space Shuttle Endeavour[44],"Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.","Crewed flight with seven astronauts, AggieSat 2 and BEVO-1 collectively designated Dragonsat, Castor and Pollux collectively designated ANDE-2, both deployed on 30 July; Dragonsat at 12:34:30 UTC and ANDE-2 at 17:23:02; Dragonsat satellites failed to separate from each other.",2009,,
21 July 03:57:43,Kosmos-3M,Kosmos 2454 (Parus),VKS,LEO,Navigation Communications,In orbit,Operational,2009,,
21 July 03:57:43,Kosmos-3M,Sterkh-1,Roscosmos,LEO,Communications Search and rescue,In orbit,Spacecraft failure,2009,,
24 July 10:56:51,Soyuz-U,Progress M-67,Roscosmos,LEO (ISS),ISS logistics,27 September 10:19:11,Successful,2009,,
24 July 10:56:51,Soyuz-U,,Final flight of original Progress-M; ISS flight 34P,Final flight of original Progress-M; ISS flight 34P,Final flight of original Progress-M; ISS flight 34P,Final flight of original Progress-M; ISS flight 34P,Final flight of original Progress-M; ISS flight 34P,2009,Final flight,
29 July 18:46,Dnepr,DubaiSat-1,EIAST,LEO (SSO),Earth observation,In orbit,Operational,2009,,
29 July 18:46,Dnepr,Deimos-1,Deimos Space,LEO (SSO),Earth observation,In orbit,Operational,2009,,
29 July 18:46,Dnepr,UK-DMC 2,BNSC (2009-2010) UKSA (2010—),LEO (SSO),Earth observation,In orbit,Operational,2009,,
29 July 18:46,Dnepr,Nanosat 1B,INTA,LEO (SSO),Earth observation,In orbit,Operational,2009,,
29 July 18:46,Dnepr,AprizeSat-3,LatinSat,LEO (SSO),Communications,In orbit,Operational,2009,,
29 July 18:46,Dnepr,AprizeSat-4,LatinSat,LEO (SSO),Communications,In orbit,Operational,2009,,
11 August 19:47,Proton-M / Briz-M,AsiaSat 5,AsiaSat,GEO,Communications,In orbit,Operational,2009,,
17 August 10:35:00,Delta II 7925-9.5,USA-206 (GPS IIR-21/M8),U.S. Air Force,MEO,Navigation,In orbit,Operational,2009,,
17 August 10:35:00,Delta II 7925-9.5,"Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925","Final launch from SLC-17A,[50] final GPS IIR launch, final flight of Delta II 7925",2009,,
21 August 22:09,Ariane 5 ECA,JCSAT-12,SKY Perfect JSAT Group,GEO,Communications,In orbit,Operational,2009,,
21 August 22:09,Ariane 5 ECA,Optus D3,Optus,GEO,Communications,In orbit,Operational,2009,,
25 August[80] 08:00,Naro-1,STSAT-2A,KARI[82],Intended: LEO,Technology demonstration,25 August,Launch failure[83],2009,,
25 August[80] 08:00,Naro-1,,"Maiden flight of Naro-1,[77] first South Korean orbital launch attempt (with Russian assistance). First flight of Angara Universal Rocket Module (used as first stage), half of payload fairing failed to separate, failed to reach orbit.[78][79]","Maiden flight of Naro-1,[77] first South Korean orbital launch attempt (with Russian assistance). First flight of Angara Universal Rocket Module (used as first stage), half of payload fairing failed to separate, failed to reach orbit.[78][79]","Maiden flight of Naro-1,[77] first South Korean orbital launch attempt (with Russian assistance). First flight of Angara Universal Rocket Module (used as first stage), half of payload fairing failed to separate, failed to reach orbit.[78][79]","Maiden flight of Naro-1,[77] first South Korean orbital launch attempt (with Russian assistance). First flight of Angara Universal Rocket Module (used as first stage), half of payload fairing failed to separate, failed to reach orbit.[78][79]","Maiden flight of Naro-1,[77] first South Korean orbital launch attempt (with Russian assistance). First flight of Angara Universal Rocket Module (used as first stage), half of payload fairing failed to separate, failed to reach orbit.[78][79]",2009,First flight,
29 August 03:59,Space Shuttle Discovery,STS-128[84],NASA,LEO (ISS),ISS assembly,11 September 00:53,Successful,2009,,
29 August 03:59,Space Shuttle Discovery,Leonardo MPLM,ASI / NASA,LEO (ISS),ISS logistics,11 September 00:53,Successful,2009,,
29 August 03:59,Space Shuttle Discovery,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,Crewed flight with seven astronauts.,2009,,
31 August 09:28[85],Long March 3B,Palapa-D,Indosat,GEO,Communications,In orbit,Partial launch failure Operational[86],2009,,
31 August 09:28[85],Long March 3B,Third stage failed during restart[85] due to gas generator burn-through.[8],Third stage failed during restart[85] due to gas generator burn-through.[8],Third stage failed during restart[85] due to gas generator burn-through.[8],Third stage failed during restart[85] due to gas generator burn-through.[8],Third stage failed during restart[85] due to gas generator burn-through.[8],Third stage failed during restart[85] due to gas generator burn-through.[8],2009,,
8 September 21:35,Atlas V 401,USA-207 (PAN),NRO,GEO,Reconnaissance,In orbit,Operational,2009,,
10 September 17:01:46[87],H-IIB,HTV-1,JAXA,LEO (ISS),ISS logistics,1 November 21:26,Successful,2009,,
10 September 17:01:46[87],H-IIB,,"Maiden flight of H-IIB and H-II Transfer Vehicle, first launch from LA-Y2.","Maiden flight of H-IIB and H-II Transfer Vehicle, first launch from LA-Y2.","Maiden flight of H-IIB and H-II Transfer Vehicle, first launch from LA-Y2.","Maiden flight of H-IIB and H-II Transfer Vehicle, first launch from LA-Y2.","Maiden flight of H-IIB and H-II Transfer Vehicle, first launch from LA-Y2.",2009,First flight,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,Meteor-M No.1,Roscosmos,LEO (SSO),Meteorology,In orbit,Successful,2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,BLITS,Roscosmos,LEO (SSO),"Geodesy, satellite laser ranging",In orbit,Operational,2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,IRIS[91],NPO Lavochkin / EADS Astrium,LEO (SSO),Technology demonstration,12 March 2021[92],Successful,2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,Sterkh-2,Roscosmos,LEO (SSO),Communications Search and rescue,In orbit,Spacecraft failure[93],2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,SumbandilaSat[94],Stellenbosch,LEO (SSO),Technology demonstration,10 December 2021,Spacecraft failure; Partial success,2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,UGATUSAT[95],UGATU,LEO (SSO),Earth observation,In orbit,Spacecraft failure[96],2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,Universitetsky-Tatyana-2[97],MSU,LEO (SSO),Technology demonstration,In orbit,Spacecraft failure; Partial success,2009,,
17 September 15:55:07[89][90],Soyuz-2.1b / Fregat,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,Meteor M-1 was a replacement for Meteor-3M No.1. IRIS intentionally remained attached to upper stage.,2009,,
